link (str);grades (list)
https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-celebi/values/848115;[8]
https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-charizard/values/848113;[8]
https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-kabutops/values/880372;[8]
https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-mewtwo/values/848111;[8]
https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-noctowl/values/880373;[8]
https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-raichu/values/848110;[8]
https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-steelix/values/861003;[8]
https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-tyranitar/values/861002;[8]
https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-ampharos-holo/values/1830244;[8]
https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-crobat-holo/values/1825377;[8]
https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-donphan-holo/values/1830246;[8]
https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-espeon-holo/values/1830251;[8]
https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-feraligatr-holo/values/1830252;[8]
https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-gengar-holo/values/1825378;[8]
https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-houndoom-holo/values/1830253;[8]
https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-scizor-holo/values/1830256;[8]
https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-typhlosion-holo/values/1825380;[8]
https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-tyranitar-holo/values/1830260;[8]
https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-arcanine-holo/values/1830262;[8]
https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-azumarill-holo/values/1825381;[8]
https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-dragonite-holo/values/1825710;[8]
https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-togetic-holo/values/1830265;[8]
https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/miracle-energy-holo/values/1825382;[8]
