date,grade,qualifier,prize,auction_house,seller,sale_type,psa_certification,img_url,lot_url
4/25/2020,6.0,,5702.0,eBay,allcsinc,Auction,46329559,https://d1w8cc2yygc27j.cloudfront.net/879458682430452284/-6311403713281615059.jpg,https://www.psacard.com/auctionprices/tcg-cards/1993-magic-gathering-unlimited/black-lotus/auction/3545861
12/19/2019,4.0,,5660.0,eBay,pwcc_auctions,Auction,44595599,https://d1w8cc2yygc27j.cloudfront.net/-8543503949298387569/-420584804289591226.jpg,https://www.psacard.com/auctionprices/tcg-cards/1993-magic-gathering-unlimited/black-lotus/auction/3166087
9/26/2019,10.0,,33099.0,eBay,pwcc_auctions,Auction,50058165,https://d1w8cc2yygc27j.cloudfront.net/-724660617888697702/-5745334642056974204.jpg,https://www.psacard.com/auctionprices/tcg-cards/1993-magic-gathering-unlimited/black-lotus/auction/2977310
9/13/2019,8.0,,7100.0,eBay,retrocollectiblesmore,Auction,12006544,https://d1w8cc2yygc27j.cloudfront.net/-1004947884323314533/-8303306245851311869.jpg,https://www.psacard.com/auctionprices/tcg-cards/1993-magic-gathering-unlimited/black-lotus/auction/2942140
7/5/2019,4.0,,6901.0,eBay,kpw,Auction,43821760,https://d1w8cc2yygc27j.cloudfront.net/7402312583115149374/-8224398661159189901.jpg,https://www.psacard.com/auctionprices/tcg-cards/1993-magic-gathering-unlimited/black-lotus/auction/2760865
6/27/2019,9.0,,13116.13,eBay,pwcc_auctions,Auction,31184466,https://d1w8cc2yygc27j.cloudfront.net/7177475850868321993/-7621842570525296835.jpg,https://www.psacard.com/auctionprices/tcg-cards/1993-magic-gathering-unlimited/black-lotus/auction/2743761
6/3/2019,7.0,,9100.0,eBay,kidicarus2000,Auction,31133692,https://d1w8cc2yygc27j.cloudfront.net/-6511167309025584578/425047621775253449.jpg,https://www.psacard.com/auctionprices/tcg-cards/1993-magic-gathering-unlimited/black-lotus/auction/2668673
3/25/2019,8.0,,8550.0,eBay,brightboy777,Auction,29007528,https://d1w8cc2yygc27j.cloudfront.net/-4725053969385177737/-3203249421461892357.jpg,https://www.psacard.com/auctionprices/tcg-cards/1993-magic-gathering-unlimited/black-lotus/auction/2448564
2/27/2019,9.0,,15691.0,eBay,pwcc_auctions,Auction,40402288,https://d1w8cc2yygc27j.cloudfront.net/1911138282885989607/-6217006994429581731.jpg,https://www.psacard.com/auctionprices/tcg-cards/1993-magic-gathering-unlimited/black-lotus/auction/2379338
5/12/2018,8.0,,6100.0,eBay,darksidegamesca,Auction,29007528,https://d1w8cc2yygc27j.cloudfront.net/2351990997959438111/3152972346011250273.jpg,https://www.psacard.com/auctionprices/tcg-cards/1993-magic-gathering-unlimited/black-lotus/auction/1694446
4/1/2018,6.0,,4100.0,eBay,candyshoppin,Auction,25192794,https://d1w8cc2yygc27j.cloudfront.net/-6009010497621574444/1629950917922635217.jpg,https://www.psacard.com/auctionprices/tcg-cards/1993-magic-gathering-unlimited/black-lotus/auction/1510870
2/10/2018,6.0,,3648.19,eBay,flannery127,Best Offer,28388323,https://d1w8cc2yygc27j.cloudfront.net/-4388455794768458165/7659621639658727127.jpg,https://www.psacard.com/auctionprices/tcg-cards/1993-magic-gathering-unlimited/black-lotus/auction/1311795
12/15/2017,5.0,,3650.0,eBay,field5collectiblesli,Buy It Now,28451837,https://d1w8cc2yygc27j.cloudfront.net/3670988968988653576/-6352371983355264463.jpg,https://www.psacard.com/auctionprices/tcg-cards/1993-magic-gathering-unlimited/black-lotus/auction/949249
10/1/2017,9.0,,5599.0,eBay,www.idealcollectables.com,Auction,27302845,https://d9nvuahg4xykp.cloudfront.net/-1040861376582161281/-7208082786665886411.jpg,https://www.psacard.com/auctionprices/tcg-cards/1993-magic-gathering-unlimited/black-lotus/auction/667003
9/21/2017,8.0,,4951.0,eBay,therisnsun,Auction,12006544,https://d9nvuahg4xykp.cloudfront.net/7348402143999009251/9005944626883811573.jpg,https://www.psacard.com/auctionprices/tcg-cards/1993-magic-gathering-unlimited/black-lotus/auction/192552
7/16/2017,5.0,,3383.0,eBay,crentsch,Auction,19558581,https://d9nvuahg4xykp.cloudfront.net/-5420083238716421388/2563155248831656709.jpg,https://www.psacard.com/auctionprices/tcg-cards/1993-magic-gathering-unlimited/black-lotus/auction/412955
2/8/2017,4.0,,2900.75,eBay,village.antiques,Auction,25851753,https://d9nvuahg4xykp.cloudfront.net/7113454633616796459/7936578784529599741.jpg,https://www.psacard.com/auctionprices/tcg-cards/1993-magic-gathering-unlimited/black-lotus/auction/1044695
1/5/2017,4.0,,3000.0,eBay,village.antiques,Auction,25851753,https://d9nvuahg4xykp.cloudfront.net/6976125139393870578/5603419145267545090.jpg,https://www.psacard.com/auctionprices/tcg-cards/1993-magic-gathering-unlimited/black-lotus/auction/1044696
