date,grade,qualifier,prize,auction_house,seller,sale_type,psa_certification,img_url,lot_url
5/27/2020,10.0,,299.97,eBay,tal_collectibless,Best Offer,28692052,https://d1w8cc2yygc27j.cloudfront.net/-1165478937675914901/-4637354787585944384.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-ampharos-holo/auction/3759644
4/23/2020,9.0,,50.0,eBay,chrochls9iitnh,Buy It Now,44615047,https://d1w8cc2yygc27j.cloudfront.net/-9148494175084612818/-1892644662851299215.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-ampharos-holo/auction/3546826
4/22/2020,9.0,,49.95,eBay,lakeshore_83,Buy It Now,42005224,https://d1w8cc2yygc27j.cloudfront.net/1598690230100388218/-8450192371262902298.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-ampharos-holo/auction/3544353
4/19/2020,10.0,,169.99,eBay,paragon_cards,Best Offer,41098137,https://d1w8cc2yygc27j.cloudfront.net/-2067117083651462151/1804904865637515874.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-ampharos-holo/auction/3541739
3/10/2020,9.0,,49.98,eBay,compusmartpr,Best Offer,43688647,https://d1w8cc2yygc27j.cloudfront.net/5369672685871666637/-4492123115583326955.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-ampharos-holo/auction/3377435
3/4/2020,9.0,,39.99,eBay,thetcgenius,Buy It Now,44726661,https://d1w8cc2yygc27j.cloudfront.net/-7411832898221348263/3759772924204431918.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-ampharos-holo/auction/3359136
2/22/2020,3.0,,12.0,eBay,numismaticsgmc,Auction,45623298,https://d1w8cc2yygc27j.cloudfront.net/-3063832719520933166/-6808651317552583431.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-ampharos-holo/auction/3322732
12/6/2019,10.0,,117.0,eBay,lucifersent,Auction,44691479,https://d1w8cc2yygc27j.cloudfront.net/-8081506839826170438/6414595022104917697.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-ampharos-holo/auction/3135053
12/3/2019,8.0,,39.98,eBay,compusmartpr,Best Offer,43688645,https://d1w8cc2yygc27j.cloudfront.net/-8511085231935110834/4451087756802708022.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-ampharos-holo/auction/3132345
5/12/2019,9.0,,25.14,eBay,obscars,Auction,42973341,https://d1w8cc2yygc27j.cloudfront.net/-344122582980825751/5185484228415316243.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-ampharos-holo/auction/2599647
