date,grade,qualifier,prize,auction_house,seller,sale_type,psa_certification,img_url,lot_url
5/26/2020,9.0,,65.0,eBay,jl0485,Auction,41486498,https://d1w8cc2yygc27j.cloudfront.net/7455761685134717219/-4942452503207806323.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-crobat-holo/auction/3709522
4/10/2020,10.0,,100.0,eBay,cctcgsales,Buy It Now,43867564,https://d1w8cc2yygc27j.cloudfront.net/4888196821668875491/9002025085472228687.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-crobat-holo/auction/3469718
3/18/2020,10.0,,66.0,eBay,svc051,Auction,45594929,https://d1w8cc2yygc27j.cloudfront.net/-8271653492429755509/-8728993244069334485.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-crobat-holo/auction/3396475
9/27/2019,9.0,,23.01,eBay,jakal2nd,Auction,41915065,https://d1w8cc2yygc27j.cloudfront.net/781664915058317201/4399777701665554567.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-crobat-holo/auction/2978108
8/4/2019,10.0,,109.99,eBay,mastertrainer_red,Buy It Now,43189656,https://d1w8cc2yygc27j.cloudfront.net/7988514786053464647/-8317275279576992552.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-crobat-holo/auction/2842547
4/18/2019,9.0,,27.4,eBay,obscars,Auction,42973337,https://d1w8cc2yygc27j.cloudfront.net/-327204516732819444/1920625864102992333.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-crobat-holo/auction/2532387
3/7/2019,10.0,,49.0,eBay,numismaticsgmc,Auction,41098138,https://d1w8cc2yygc27j.cloudfront.net/11967146713494747/6408826445483126838.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-crobat-holo/auction/2398590
1/18/2019,10.0,,80.0,eBay,razor3432,Best Offer,28854936,https://d1w8cc2yygc27j.cloudfront.net/5663027878615058629/-6193517776558805859.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-crobat-holo/auction/2264267
1/2/2019,10.0,,35.0,eBay,numismaticsgmc,Auction,40963676,https://d1w8cc2yygc27j.cloudfront.net/-5631501427424434964/-7841210731602848771.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-crobat-holo/auction/2221600
7/29/2018,10.0,,26.0,eBay,pwcc_auctions,Auction,40737937,https://d1w8cc2yygc27j.cloudfront.net/3402548378904456760/1481400721489775198.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-crobat-holo/auction/1989279
7/29/2018,9.0,,24.5,eBay,pwcc_auctions,Auction,23416682,https://d1w8cc2yygc27j.cloudfront.net/3309747516036933268/6233998883542756466.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-crobat-holo/auction/1989274
6/28/2018,9.0,,34.99,eBay,dragonsroosttreasures,Buy It Now,26409319,https://d1w8cc2yygc27j.cloudfront.net/6539484290376913677/-384751252469590004.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-crobat-holo/auction/1880502
