date,grade,qualifier,prize,auction_house,seller,sale_type,psa_certification,img_url,lot_url
5/23/2020,7.0,,30.0,eBay,dontbrued,Buy It Now,45658760,https://d1w8cc2yygc27j.cloudfront.net/3203790622999239781/783486905232533967.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-donphan-holo/auction/3772562
5/14/2020,10.0,,207.5,eBay,robk0215,Auction,43600737,https://d1w8cc2yygc27j.cloudfront.net/-3525853193325459755/-2293699821499025386.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-donphan-holo/auction/3651810
4/19/2020,9.0,,39.99,eBay,galactictoysllc,Best Offer,41656760,https://d1w8cc2yygc27j.cloudfront.net/-3164839221317719163/-616065302377236450.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-donphan-holo/auction/3497151
3/26/2020,10.0,,124.97,eBay,tal_collectibless,Buy It Now,28692054,https://d1w8cc2yygc27j.cloudfront.net/-6154695236812074518/-1492162319670340050.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-donphan-holo/auction/3425655
3/2/2020,10.0,,70.0,eBay,josbor_49,Auction,40965671,https://d1w8cc2yygc27j.cloudfront.net/2673895187068404999/7411193486141425915.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-donphan-holo/auction/3363814
2/25/2020,9.0,,24.5,eBay,coins_n_rarities,Auction,45623301,https://d1w8cc2yygc27j.cloudfront.net/6851274411433878519/-9052678603633660817.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-donphan-holo/auction/3336535
12/23/2019,10.0,,56.0,eBay,pwcc_auctions,Auction,27674961,https://d1w8cc2yygc27j.cloudfront.net/-5029999603119100697/9189065986396954027.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-donphan-holo/auction/3204464
10/11/2019,9.0,,29.99,eBay,poke_paradise,Best Offer,27122637,https://d1w8cc2yygc27j.cloudfront.net/-1809250352356478180/-7802087744008270754.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-donphan-holo/auction/3006222
9/21/2019,10.0,,35.0,eBay,cardhouse_eu,Auction,41036548,https://d1w8cc2yygc27j.cloudfront.net/4959168421846646690/-3710614273003917344.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-donphan-holo/auction/2962430
8/23/2019,9.0,,34.99,eBay,pokelyfe,Best Offer,41965459,https://d1w8cc2yygc27j.cloudfront.net/-8974472613279169825/-4018411140278373087.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-donphan-holo/auction/2907529
5/2/2019,9.0,,23.54,eBay,obscars,Auction,42973338,https://d1w8cc2yygc27j.cloudfront.net/-6831668453186848570/4669488062920274851.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-donphan-holo/auction/2576502
1/6/2019,8.0,,5.0,eBay,ypsi72,Auction,42199718,https://d1w8cc2yygc27j.cloudfront.net/-4410284648023720565/6387825902390539351.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-donphan-holo/auction/2230748
12/26/2018,10.0,,38.14,eBay,lufcdee,Auction,41006335,https://d1w8cc2yygc27j.cloudfront.net/-7273182961575283309/5269506531032552484.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-donphan-holo/auction/2205163
8/29/2018,9.0,,25.0,eBay,pwcc_auctions,Auction,24709305,https://d1w8cc2yygc27j.cloudfront.net/7841390454414427685/-4259475237404741965.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-donphan-holo/auction/2087826
6/26/2018,9.0,,30.0,eBay,pwcc_auctions,Auction,26277919,https://d1w8cc2yygc27j.cloudfront.net/4206115936274113462/-2762271344902211533.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-donphan-holo/auction/1861585
3/7/2018,9.0,,39.99,eBay,pokemon_revolution,Buy It Now,26647727,https://d1w8cc2yygc27j.cloudfront.net/-4171150212257103013/-2699341261905357982.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-donphan-holo/auction/1393313
1/12/2018,9.0,,22.0,eBay,gemintpokemon,Best Offer,28349775,https://d1w8cc2yygc27j.cloudfront.net/3210895674657354885/-108841377769062053.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-donphan-holo/auction/1220377
11/20/2016,8.0,,4.99,eBay,thomaweb5,Auction,26246229,https://d9nvuahg4xykp.cloudfront.net/6616175960342646723/-4922683671149524088.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-donphan-holo/auction/1109201
10/7/2016,9.0,,12.0,eBay,uzzah439,Auction,25851028,https://d9nvuahg4xykp.cloudfront.net/596154039409375655/-8094808662838706686.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-donphan-holo/auction/1026439
9/25/2016,9.0,,8.5,eBay,moed1121,Auction,25851028,https://d9nvuahg4xykp.cloudfront.net/4146582962179673485/906501093747115712.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-donphan-holo/auction/1026440
