date,grade,qualifier,prize,auction_house,seller,sale_type,psa_certification,img_url,lot_url
5/21/2020,8.0,,149.99,eBay,cardhouse_eu,Best Offer,45519801,https://d1w8cc2yygc27j.cloudfront.net/5404126353523757051/-8420284948197231105.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-espeon-holo/auction/3756099
5/20/2020,8.0,,180.0,eBay,reee-34,Buy It Now,28870626,https://d1w8cc2yygc27j.cloudfront.net/-5267676799576040373/2524497190191619034.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-espeon-holo/auction/3712422
5/15/2020,9.0,,249.99,eBay,bigta1986,Best Offer,46081249,https://d1w8cc2yygc27j.cloudfront.net/4253456424161667353/4220933104347020233.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-espeon-holo/auction/3756412
5/15/2020,9.0,,220.0,eBay,stumpydan-360,Buy It Now,25581777,https://d1w8cc2yygc27j.cloudfront.net/140433109330400607/-70326201879795605.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-espeon-holo/auction/3761484
4/6/2020,10.0,,999.98,eBay,compusmartpr,Buy It Now,43688653,https://d1w8cc2yygc27j.cloudfront.net/-7517312271224263277/-7489522583279605184.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-espeon-holo/auction/3460121
3/16/2020,7.0,,64.0,eBay,bwcolliflower,Auction,44795569,https://d1w8cc2yygc27j.cloudfront.net/8018038709029587987/6457928031968248449.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-espeon-holo/auction/3389469
2/15/2020,7.0,,36.0,eBay,numismaticsgmc,Auction,45623447,https://d1w8cc2yygc27j.cloudfront.net/5820553788946553999/4168514572141133584.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-espeon-holo/auction/3294568
2/6/2020,7.0,,66.98,eBay,compusmartpr,Best Offer,43688651,https://d1w8cc2yygc27j.cloudfront.net/1617238254323221246/7149827589012497921.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-espeon-holo/auction/3257455
11/28/2019,9.0,,74.48,eBay,mr_nyah,Best Offer,43691568,https://d1w8cc2yygc27j.cloudfront.net/-5313666088113203683/2176805718438341408.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-espeon-holo/auction/3117636
11/1/2019,9.0,,76.0,eBay,pokecheese,Auction,41497989,https://d1w8cc2yygc27j.cloudfront.net/-7991901045017147736/2445858898404803080.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-espeon-holo/auction/3054360
9/30/2019,7.0,,50.0,eBay,kybeh-55,Best Offer,41880788,https://d1w8cc2yygc27j.cloudfront.net/53349408544553061/812538722963756387.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-espeon-holo/auction/2987052
9/23/2019,6.0,,19.5,eBay,numismaticsgmc,Auction,44265313,https://d1w8cc2yygc27j.cloudfront.net/-876016538779019941/6092953299405036018.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-espeon-holo/auction/2969508
9/17/2019,8.0,,26.27,eBay,shadowtear,Auction,43558221,https://d1w8cc2yygc27j.cloudfront.net/-5568446831273701726/2011678913660471978.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-espeon-holo/auction/2955209
9/12/2019,9.0,,51.0,eBay,numismaticsgmc,Auction,44320836,https://d1w8cc2yygc27j.cloudfront.net/6706244699664848926/1279422396507691172.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-espeon-holo/auction/2941852
6/13/2019,9.0,,45.03,eBay,trainer4272,Auction,42887143,https://d1w8cc2yygc27j.cloudfront.net/3097644633048119886/4662087876376469384.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-espeon-holo/auction/2701841
6/12/2019,10.0,,202.5,eBay,jujutofu,Auction,43136346,https://d1w8cc2yygc27j.cloudfront.net/1834698815933857915/-196953598642188706.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-espeon-holo/auction/2698200
4/6/2019,8.0,,29.0,eBay,cardhouse_eu,Auction,42033944,https://d1w8cc2yygc27j.cloudfront.net/-4172768149968722928/4316929945189679734.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-espeon-holo/auction/2479103
3/30/2019,10.0,,112.5,eBay,itsalhill,Auction,26928014,https://d1w8cc2yygc27j.cloudfront.net/-9078770490386832661/2144869813822733578.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-espeon-holo/auction/2460986
2/23/2019,6.0,,22.0,eBay,wastle,Best Offer,40707821,https://d1w8cc2yygc27j.cloudfront.net/2035622498574297524/1537678580695591504.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-espeon-holo/auction/2370485
1/21/2019,7.0,,24.5,eBay,svc051,Auction,42226057,https://d1w8cc2yygc27j.cloudfront.net/-2526094556815935001/1188880527101218914.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-espeon-holo/auction/2273230
8/30/2018,8.0,,30.0,eBay,gradedpower,Auction,28898798,https://d1w8cc2yygc27j.cloudfront.net/4964780687523387844/2654220466331341289.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-espeon-holo/auction/2091704
7/1/2018,7.0,,19.5,eBay,nidofamily,Auction,28527546,https://d1w8cc2yygc27j.cloudfront.net/568788395364560809/-7570535270934624409.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-espeon-holo/auction/1877685
6/26/2018,9.0,,41.0,eBay,pwcc_auctions,Auction,24709306,https://d1w8cc2yygc27j.cloudfront.net/-8523957809875041137/-4986027374546024878.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-espeon-holo/auction/1861356
6/9/2018,8.0,,28.0,eBay,dyecodydye,Auction,40775555,https://d1w8cc2yygc27j.cloudfront.net/7077176306841731426/7931266931369294687.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-espeon-holo/auction/1803057
5/28/2018,10.0,,139.5,eBay,pwcc_auctions,Auction,25438930,https://d1w8cc2yygc27j.cloudfront.net/-8682787856554892765/3214024392289699572.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-espeon-holo/auction/1762259
4/11/2018,7.0,,22.5,eBay,liarspoker10,Best Offer,27009332,https://d1w8cc2yygc27j.cloudfront.net/-2741106965949685820/8805080100449740190.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-espeon-holo/auction/1575347
3/6/2018,10.0,,170.0,eBay,olimar729,Best Offer,28452729,https://d1w8cc2yygc27j.cloudfront.net/105446825689032968/5890470762541216380.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-espeon-holo/auction/1401416
