date,grade,qualifier,prize,auction_house,seller,sale_type,psa_certification,img_url,lot_url
6/3/2020,10.0,,650.0,eBay,williaelm_5,Buy It Now,40712385,https://d1w8cc2yygc27j.cloudfront.net/8666750697312138445/-4276021724697418716.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-gengar-holo/auction/3823037
5/16/2020,9.0,,154.99,eBay,4chicagojoe,Buy It Now,45070184,https://d1w8cc2yygc27j.cloudfront.net/1755661807216443579/-3163756306806105526.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-gengar-holo/auction/3770402
4/28/2020,9.0,,149.99,eBay,cardcollector2_sportscards,Buy It Now,44888898,https://d1w8cc2yygc27j.cloudfront.net/8354194644554855126/4374584821326205647.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-gengar-holo/auction/3616045
4/25/2020,8.0,,45.0,eBay,silverpokemon,Auction,44180807,https://d1w8cc2yygc27j.cloudfront.net/945285489336063904/4671924455977158769.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-gengar-holo/auction/3544970
4/24/2020,10.0,,249.98,eBay,compusmartpr,Buy It Now,45070185,https://d1w8cc2yygc27j.cloudfront.net/-4409763284514538305/4437706782520197497.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-gengar-holo/auction/3581578
4/23/2020,8.0,,75.0,eBay,nnic2885,Buy It Now,42271279,https://d1w8cc2yygc27j.cloudfront.net/5121535122371109708/-6426664886542472922.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-gengar-holo/auction/3578174
4/21/2020,10.0,,248.0,eBay,silverpokemon,Buy It Now,45070183,https://d1w8cc2yygc27j.cloudfront.net/-6588153013591545383/8088503480970406858.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-gengar-holo/auction/3597329
4/19/2020,9.0,,109.98,eBay,compusmartpr,Buy It Now,45070186,https://d1w8cc2yygc27j.cloudfront.net/8981080138628194700/7082872755683424448.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-gengar-holo/auction/3584518
4/16/2020,10.0,,249.98,eBay,compusmartpr,Buy It Now,45070183,https://d1w8cc2yygc27j.cloudfront.net/1456895148846039153/-8102883053066032709.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-gengar-holo/auction/3509060
4/5/2020,10.0,,249.98,eBay,compusmartpr,Buy It Now,45070182,https://d1w8cc2yygc27j.cloudfront.net/3189326534717845311/8767256754002008881.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-gengar-holo/auction/3503265
