date,grade,qualifier,prize,auction_house,seller,sale_type,psa_certification,img_url,lot_url
6/24/2020,9.0,,146.5,eBay,svc051,Auction,45594933,https://d1w8cc2yygc27j.cloudfront.net/-326939507353258773/-7735737149353014882.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-houndoom-holo/auction/3898423
6/23/2020,8.0,,99.99,eBay,cardhouse_eu,Best Offer,45516983,https://d1w8cc2yygc27j.cloudfront.net/933591776618092152/-8483311891327396936.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-houndoom-holo/auction/3915752
5/10/2020,8.0,,69.95,eBay,nnic2885,Buy It Now,42271281,https://d1w8cc2yygc27j.cloudfront.net/437048386442936992/-7157913140936561844.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-houndoom-holo/auction/3732002
4/5/2020,9.0,,54.0,eBay,pjaamma,Auction,42335269,https://d1w8cc2yygc27j.cloudfront.net/-592631300673189257/2352053905433091363.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-houndoom-holo/auction/3442648
3/1/2020,10.0,,175.0,eBay,rdigumarthi,Best Offer,27239206,https://d1w8cc2yygc27j.cloudfront.net/1167916413904865003/5603107007219420623.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-houndoom-holo/auction/3358713
1/21/2020,9.0,,59.99,eBay,cardboardkrackshack,Best Offer,44187322,https://d1w8cc2yygc27j.cloudfront.net/1730645447703311421/-3431102354395650624.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-houndoom-holo/auction/3257783
12/23/2019,8.0,,12.5,eBay,pwcc_auctions,Auction,44032372,https://d1w8cc2yygc27j.cloudfront.net/-2610257256654654379/12050705493297246.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-houndoom-holo/auction/3225595
12/12/2019,10.0,,147.99,eBay,mastertrainer_red,Buy It Now,43691218,https://d1w8cc2yygc27j.cloudfront.net/5902928599011506106/7739649882982421521.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-houndoom-holo/auction/3157998
6/1/2019,10.0,,53.53,eBay,1pokemonmaster,Auction,41395579,https://d1w8cc2yygc27j.cloudfront.net/3400567433125079412/5663140122515676108.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-houndoom-holo/auction/2662346
5/30/2019,8.0,,22.0,eBay,probstein123,Auction,43118862,https://d1w8cc2yygc27j.cloudfront.net/3472731370221994246/-4617161250700731785.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-houndoom-holo/auction/2658693
