date,grade,qualifier,prize,auction_house,seller,sale_type,psa_certification,img_url,lot_url
3/23/2020,7.0,,19.5,eBay,enmenm_9ioie2v,Auction,45476151,https://d1w8cc2yygc27j.cloudfront.net/7417756482574933246/8367091537156503262.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-scizor-holo/auction/3413245
1/18/2020,4.0,,16.99,eBay,dire_ind,Best Offer,41983294,https://d1w8cc2yygc27j.cloudfront.net/-244092028755507924/5758824221442265193.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-scizor-holo/auction/3243718
9/8/2019,8.0,,26.0,eBay,numismaticsgmc,Auction,44320984,https://d1w8cc2yygc27j.cloudfront.net/-2817261386935615302/-5427447992279960299.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-scizor-holo/auction/2932055
7/3/2019,10.0,,179.0,eBay,sheahays,Best Offer,41098142,https://d1w8cc2yygc27j.cloudfront.net/-7108437623999106108/4706988124299930377.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-scizor-holo/auction/2760554
5/19/2019,9.0,,37.5,eBay,authentic_collectibles_market,Auction,41988686,https://d1w8cc2yygc27j.cloudfront.net/4190210011485322938/269780433992667845.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-scizor-holo/auction/2625791
5/12/2019,9.0,,20.19,eBay,obscars,Auction,42973335,https://d1w8cc2yygc27j.cloudfront.net/6538821513732489608/1606772052665435170.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-scizor-holo/auction/2599743
4/24/2019,9.0,,53.0,eBay,pwcc_auctions,Auction,24709359,https://d1w8cc2yygc27j.cloudfront.net/-6520025033714253649/4247713101375665713.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-scizor-holo/auction/2552313
4/18/2019,9.0,,23.48,eBay,obscars,Auction,42973335,https://d1w8cc2yygc27j.cloudfront.net/-7348245593560031617/1606772052665435170.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-scizor-holo/auction/2532385
3/8/2019,9.0,,35.0,eBay,duski_46,Best Offer,41254619,https://d1w8cc2yygc27j.cloudfront.net/-7864898804725718855/4093579446425122335.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-scizor-holo/auction/2400693
1/28/2019,9.0,,19.35,eBay,pwcc_auctions,Auction,29057760,https://d1w8cc2yygc27j.cloudfront.net/5783740466243327316/1159139499663678507.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-scizor-holo/auction/2297771
1/2/2019,10.0,,76.0,eBay,numismaticsgmc,Auction,41098142,https://d1w8cc2yygc27j.cloudfront.net/-929846029382464178/-7225195581705243109.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-scizor-holo/auction/2221938
12/26/2018,9.0,,20.0,eBay,socali_cards,Best Offer,41301942,https://d1w8cc2yygc27j.cloudfront.net/4258317417560380988/-361503372396665300.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-scizor-holo/auction/2211758
12/26/2018,10.0,,150.0,eBay,razor3432,Best Offer,40965672,https://d1w8cc2yygc27j.cloudfront.net/1981452095449280190/2324563166446111967.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-scizor-holo/auction/2214119
