date,grade,qualifier,prize,auction_house,seller,sale_type,psa_certification,img_url,lot_url
6/25/2020,8.0,,76.0,eBay,rysua_94,Auction,47086531,https://d1w8cc2yygc27j.cloudfront.net/-62276707488316199/-5837370770607013697.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-typhlosion-holo/auction/3905807
5/22/2020,10.0,,349.99,eBay,bigta1986,Best Offer,46081250,https://d1w8cc2yygc27j.cloudfront.net/-5620766711284220608/6219896948093726049.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-typhlosion-holo/auction/3777492
5/21/2020,8.0,,74.99,eBay,lawnman1183,Buy It Now,29061651,https://d1w8cc2yygc27j.cloudfront.net/-1373237532405975966/8208128615660297145.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-typhlosion-holo/auction/3777033
5/14/2020,9.0,,176.6,eBay,wiau081,Buy It Now,43941782,https://d1w8cc2yygc27j.cloudfront.net/6078962054753431176/7505511082943799173.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-typhlosion-holo/auction/3672063
5/3/2020,9.0,,125.0,eBay,merchant_86,Buy It Now,45833506,https://d1w8cc2yygc27j.cloudfront.net/-1544747708841005188/-1407750596143371588.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-typhlosion-holo/auction/3638530
4/19/2020,9.0,,59.88,eBay,compusmartpr,Buy It Now,45070192,https://d1w8cc2yygc27j.cloudfront.net/-667757624291223280/-3900295566846778642.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-typhlosion-holo/auction/3583759
4/4/2020,9.0,,49.95,eBay,duaner92,Best Offer,46288263,https://d1w8cc2yygc27j.cloudfront.net/4434412964402578862/8007517739442460658.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-typhlosion-holo/auction/3490675
3/28/2020,10.0,,160.0,eBay,deadymurphy509,Buy It Now,40885746,https://d1w8cc2yygc27j.cloudfront.net/-4103423307191436119/-402326245685090468.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-typhlosion-holo/auction/3457317
3/10/2020,10.0,,87.0,eBay,josbor_49,Auction,43867578,https://d1w8cc2yygc27j.cloudfront.net/-4131323608697078710/2363173862784050260.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-typhlosion-holo/auction/3373003
3/7/2020,9.0,,49.99,eBay,cardboardkrackshack,Best Offer,44187324,https://d1w8cc2yygc27j.cloudfront.net/-6356641702589186214/6618327368458492062.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-typhlosion-holo/auction/3367704
