date,grade,qualifier,prize,auction_house,seller,sale_type,psa_certification,img_url,lot_url
5/17/2020,9.0,,88.0,eBay,erichazen,Auction,44960655,https://d1w8cc2yygc27j.cloudfront.net/2422544333753060353/8483896292027654971.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-tyranitar-holo/auction/3669143
5/10/2020,8.0,,149.99,eBay,alexulow11,Buy It Now,44092932,https://d1w8cc2yygc27j.cloudfront.net/9113728329801650794/-2374536869016101967.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-tyranitar-holo/auction/3742720
4/30/2020,9.0,,249.95,eBay,gemmintpokemon,Best Offer,43852378,https://d1w8cc2yygc27j.cloudfront.net/-31005431588943674/5605467833050760125.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-tyranitar-holo/auction/3640292
4/3/2020,8.0,,99.99,eBay,y2next,Buy It Now,45936199,https://d1w8cc2yygc27j.cloudfront.net/1422294783292723055/1210064198629368258.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-tyranitar-holo/auction/3475296
2/15/2020,6.0,,18.5,eBay,numismaticsgmc,Auction,45623452,https://d1w8cc2yygc27j.cloudfront.net/108236232824387369/-3540716884031407162.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-tyranitar-holo/auction/3245445
11/19/2019,9.0,,64.99,eBay,page3auc,Best Offer,42371298,https://d1w8cc2yygc27j.cloudfront.net/4230958425623727132/8798080726457966521.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-tyranitar-holo/auction/3099914
9/8/2019,9.0,,40.0,eBay,numismaticsgmc,Auction,44320808,https://d1w8cc2yygc27j.cloudfront.net/-716719584967210470/3206186549531790895.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-tyranitar-holo/auction/2932048
7/1/2019,9.0,,51.0,eBay,cna4ever87,Auction,43141663,https://d1w8cc2yygc27j.cloudfront.net/9171536988145476982/-7899343280607811462.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-tyranitar-holo/auction/2752792
6/1/2019,9.0,,35.0,eBay,1pokemonmaster,Auction,41395583,https://d1w8cc2yygc27j.cloudfront.net/-8982370910934892693/-2104416881351497130.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-tyranitar-holo/auction/2661960
4/15/2019,9.0,,23.57,eBay,obscars,Auction,42973345,https://d1w8cc2yygc27j.cloudfront.net/4888355783215440345/1707778490749659879.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-tyranitar-holo/auction/2506348
1/20/2019,8.0,,26.5,eBay,wastle,Best Offer,41418856,https://d1w8cc2yygc27j.cloudfront.net/8614999385351962915/-8456452664160815341.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-tyranitar-holo/auction/2283395
1/6/2019,9.0,,61.0,eBay,cardscomicsandmore4u,Auction,41727357,https://d1w8cc2yygc27j.cloudfront.net/-4661284142416681299/-8019033762514990500.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-tyranitar-holo/auction/2229102
11/6/2018,9.0,,28.0,eBay,mymanjustin,Auction,41373581,https://d1w8cc2yygc27j.cloudfront.net/-2694358731983281813/126750071314767341.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-tyranitar-holo/auction/2161543
8/15/2018,10.0,,235.0,eBay,shop_closet,Best Offer,28503364,https://d1w8cc2yygc27j.cloudfront.net/5905733186172779568/821165480363237598.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-tyranitar-holo/auction/2060542
7/29/2018,9.0,,41.0,eBay,pwcc_auctions,Auction,40737938,https://d1w8cc2yygc27j.cloudfront.net/-8245869498229108770/3717494290690205111.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-tyranitar-holo/auction/1988956
7/29/2018,9.0,,28.0,eBay,pwcc_auctions,Auction,24709314,https://d1w8cc2yygc27j.cloudfront.net/3692257396360028887/-7422771651539165508.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/dark-tyranitar-holo/auction/1989291
