date,grade,qualifier,prize,auction_house,seller,sale_type,psa_certification,img_url,lot_url
5/2/2020,10.0,,799.99,eBay,chrism_02,Buy It Now,27239163,https://d1w8cc2yygc27j.cloudfront.net/8913631910315575133/8980982546045965125.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-arcanine-holo/auction/3606327
4/20/2020,10.0,,749.99,eBay,chrism_02,Buy It Now,27239163,https://d1w8cc2yygc27j.cloudfront.net/4774476754191434792/6925637033569518400.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-arcanine-holo/auction/3551220
4/18/2020,8.0,,99.99,eBay,cardhouse_eu,Best Offer,45519799,https://d1w8cc2yygc27j.cloudfront.net/5189019415535509008/-84569869840140220.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-arcanine-holo/auction/3561314
1/15/2020,9.0,,89.98,eBay,compusmartpr,Best Offer,43688668,https://d1w8cc2yygc27j.cloudfront.net/3761843541886039127/-3810959702390903310.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-arcanine-holo/auction/3277148
4/18/2019,9.0,,33.93,eBay,obscars,Auction,42973312,https://d1w8cc2yygc27j.cloudfront.net/-5403274716291624964/-2661728381450091441.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-arcanine-holo/auction/2532379
3/21/2019,8.0,,37.0,eBay,probstein123,Auction,28780395,https://d1w8cc2yygc27j.cloudfront.net/-2218171283380813008/3487244460099280128.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-arcanine-holo/auction/2434872
1/27/2019,7.0,,12.0,eBay,pokemon.outlet,Auction,41662525,https://d1w8cc2yygc27j.cloudfront.net/-5565892663663037967/-8293826874727747107.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-arcanine-holo/auction/2306343
1/4/2019,7.0,,40.0,eBay,cardhouse_eu,Auction,42033949,https://d1w8cc2yygc27j.cloudfront.net/1402825920558895784/-8857583575641483488.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-arcanine-holo/auction/2226520
8/29/2018,8.0,,36.0,eBay,pwcc_auctions,Auction,24709364,https://d1w8cc2yygc27j.cloudfront.net/-7081485010377869005/-8733776445721748524.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-arcanine-holo/auction/2085669
8/22/2018,6.0,,23.5,eBay,one-of-gods-miracles,Auction,40931269,https://d1w8cc2yygc27j.cloudfront.net/-3805641256676493358/3096790175736576019.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-arcanine-holo/auction/2061756
7/28/2018,8.5,,20.5,eBay,chrigun_3,Auction,26588638,https://d1w8cc2yygc27j.cloudfront.net/5866548199299034606/-8200748803035325284.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-arcanine-holo/auction/1983971
7/12/2018,9.0,,49.99,eBay,lambda_driver,Buy It Now,41047317,https://d1w8cc2yygc27j.cloudfront.net/6448942460884504331/-2875627018643109220.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-arcanine-holo/auction/1934685
7/6/2018,9.0,,34.0,eBay,amtsupply,Auction,28524420,https://d1w8cc2yygc27j.cloudfront.net/-8574719347496807817/733156614789615749.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-arcanine-holo/auction/1906789
6/26/2018,9.0,,79.0,eBay,pwcc_auctions,Auction,24709315,https://d1w8cc2yygc27j.cloudfront.net/-7112521680340497748/2975128235652715140.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-arcanine-holo/auction/1861361
6/5/2018,9.0,,50.0,eBay,dylanewma_6,Best Offer,28835961,https://d1w8cc2yygc27j.cloudfront.net/7838864678236978261/-836520835765611807.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-arcanine-holo/auction/1800664
4/15/2018,9.0,,53.0,eBay,tnolan0816,Auction,28524420,https://d1w8cc2yygc27j.cloudfront.net/-4232238970313335352/5836517604123594175.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-arcanine-holo/auction/1571762
4/8/2018,9.0,,38.0,eBay,tnolan0816,Auction,28524420,https://d1w8cc2yygc27j.cloudfront.net/-8352939633540397647/5836517604123594175.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-arcanine-holo/auction/1545550
4/1/2018,9.0,,68.35,eBay,tnolan0816,Auction,28524420,https://d1w8cc2yygc27j.cloudfront.net/7681726418122631040/5836517604123594175.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-arcanine-holo/auction/1512070
12/27/2017,10.0,,132.5,eBay,printsandcompany,Auction,27655503,https://d1w8cc2yygc27j.cloudfront.net/4079388725306505082/-5441928208968872806.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-arcanine-holo/auction/1173346
12/1/2017,9.0,,95.0,eBay,i_love_shoes15,Best Offer,25466720,https://d9nvuahg4xykp.cloudfront.net/8251516155521195540/3878128877149219371.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-arcanine-holo/auction/1101454
10/4/2017,10.0,,199.0,eBay,zandgemporium-0,Best Offer,27787013,https://d9nvuahg4xykp.cloudfront.net/6931927189584122967/-948220618771664698.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-arcanine-holo/auction/1031746
9/23/2017,9.0,,21.95,eBay,harrjess_7avv9h,Auction,27101327,https://d9nvuahg4xykp.cloudfront.net/360775170537393877/2366486985621215538.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-arcanine-holo/auction/539399
8/16/2017,10.0,,170.0,eBay,11309btn,Best Offer,27108611,https://d9nvuahg4xykp.cloudfront.net/-1621988085579740701/-5385177664273480003.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-arcanine-holo/auction/430836
6/15/2017,9.0,,45.0,eBay,pokemon4life101,Best Offer,27101327,https://d9nvuahg4xykp.cloudfront.net/-8801432684395222556/5243532636830019293.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-arcanine-holo/auction/539398
