date,grade,qualifier,prize,auction_house,seller,sale_type,psa_certification,img_url,lot_url
6/24/2020,8.0,,29.0,eBay,nnic2885,Buy It Now,41481615,https://d1w8cc2yygc27j.cloudfront.net/3594265101178473546/-3594275250776470699.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-azumarill-holo/auction/3904547
6/22/2020,9.0,,49.0,eBay,nnic2885,Buy It Now,42271282,https://d1w8cc2yygc27j.cloudfront.net/-269893666023686192/128038410665658996.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-azumarill-holo/auction/3904633
6/12/2020,8.0,,23.99,eBay,galactictoysllc,Best Offer,41656756,https://d1w8cc2yygc27j.cloudfront.net/54087026501802257/-3236678217638285284.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-azumarill-holo/auction/3851313
5/22/2020,8.0,,20.67,eBay,firsteditioncollectibles,Buy It Now,45627648,https://d1w8cc2yygc27j.cloudfront.net/-7806856918140033885/7376752947226225162.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-azumarill-holo/auction/3706872
5/2/2020,10.0,,199.99,eBay,cardhouse_eu,Best Offer,45516953,https://d1w8cc2yygc27j.cloudfront.net/-687841834219627068/3188687416892006496.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-azumarill-holo/auction/3610767
4/13/2020,9.0,,28.99,eBay,vintagecollectiblesinc,Best Offer,42148221,https://d1w8cc2yygc27j.cloudfront.net/4136891410535876105/-5067503794744382961.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-azumarill-holo/auction/3530930
3/26/2020,10.0,,124.99,eBay,greggerz92,Best Offer,26122018,https://d1w8cc2yygc27j.cloudfront.net/6945070445438865107/-2932207244985869765.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-azumarill-holo/auction/3429272
3/22/2020,6.0,,10.0,eBay,kybeh-55,Auction,44789178,https://d1w8cc2yygc27j.cloudfront.net/132490236915252999/5114319553312446882.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-azumarill-holo/auction/3406528
3/18/2020,10.0,,62.0,eBay,svc051,Auction,45594935,https://d1w8cc2yygc27j.cloudfront.net/680788648819038674/-7234552042949361663.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-azumarill-holo/auction/3398102
2/22/2020,6.0,,10.0,eBay,numismaticsgmc,Auction,45623300,https://d1w8cc2yygc27j.cloudfront.net/-14103538311492547/-3941869853598121766.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-azumarill-holo/auction/3322969
2/22/2020,10.0,,71.0,eBay,josbor_49,Auction,27471896,https://d1w8cc2yygc27j.cloudfront.net/8796075993190058450/4793025900508677805.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-azumarill-holo/auction/3323058
2/15/2020,9.0,,24.99,eBay,crystal_gems,Buy It Now,44633623,https://d1w8cc2yygc27j.cloudfront.net/1723709413357105006/-7211030358018792880.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-azumarill-holo/auction/3258506
10/3/2019,10.0,,59.99,eBay,pokemon_revolution,Buy It Now,27471896,https://d1w8cc2yygc27j.cloudfront.net/808795149766748413/8145165656693695996.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-azumarill-holo/auction/2993215
8/29/2019,9.0,,16.83,eBay,mullac51,Best Offer,29057758,https://d1w8cc2yygc27j.cloudfront.net/6575527020163944898/1039793778212774659.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-azumarill-holo/auction/2915559
6/27/2019,9.0,,14.07,eBay,pwcc_auctions,Auction,29057758,https://d1w8cc2yygc27j.cloudfront.net/5581241431391218355/-6447703906851321493.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-azumarill-holo/auction/2743548
6/1/2019,9.0,,23.46,eBay,1pokemonmaster,Auction,41395582,https://d1w8cc2yygc27j.cloudfront.net/596598639473998682/-2976536752216046905.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-azumarill-holo/auction/2663008
4/10/2019,9.0,,20.0,eBay,lostmachete,Buy It Now,41677150,https://d1w8cc2yygc27j.cloudfront.net/-3842132385754081952/3821995009518192452.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-azumarill-holo/auction/2497868
3/21/2019,9.0,,10.5,eBay,probstein123,Auction,28780434,https://d1w8cc2yygc27j.cloudfront.net/5350314306013985636/1578018475342900294.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-azumarill-holo/auction/2435643
2/2/2019,10.0,,21.51,eBay,svc051,Auction,42111204,https://d1w8cc2yygc27j.cloudfront.net/1573320576303381164/-2889704164986420235.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-azumarill-holo/auction/2310572
1/16/2019,9.0,,15.0,eBay,jacanddan_collectibles,Auction,42262058,https://d1w8cc2yygc27j.cloudfront.net/1461958677336549624/-1071587256463794166.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-azumarill-holo/auction/2255588
