date,grade,qualifier,prize,auction_house,seller,sale_type,psa_certification,img_url,lot_url
6/7/2020,10.0,,415.0,eBay,svc051,Auction,45594941,https://d1w8cc2yygc27j.cloudfront.net/7801498639824484952/8633254156585656307.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-dragonite-holo/auction/3802279
5/15/2020,8.0,,75.0,eBay,jayspokemoncollection,Auction,25889740,https://d1w8cc2yygc27j.cloudfront.net/1532485688461731460/-7234176177325118604.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-dragonite-holo/auction/3654090
5/15/2020,8.0,,99.99,eBay,cardhouse_eu,Best Offer,45519768,https://d1w8cc2yygc27j.cloudfront.net/6633930430150069476/2347805533060374130.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-dragonite-holo/auction/3771723
5/14/2020,9.0,,157.5,eBay,rlw359,Auction,43705581,https://d1w8cc2yygc27j.cloudfront.net/5457753325684207828/680316299300372022.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-dragonite-holo/auction/3655709
4/26/2020,9.0,,149.99,eBay,cardhouse_eu,Best Offer,45519769,https://d1w8cc2yygc27j.cloudfront.net/3061522226697041767/-6183110279980854297.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-dragonite-holo/auction/3584110
4/15/2020,8.5,,60.0,eBay,card_crazy11,Auction,44369288,https://d1w8cc2yygc27j.cloudfront.net/-928370428044906702/-6526920479161991155.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-dragonite-holo/auction/3489955
4/12/2020,9.0,,150.0,eBay,dishimaru3,Buy It Now,44190399,https://d1w8cc2yygc27j.cloudfront.net/-6239615005231671402/-6422001841757715182.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-dragonite-holo/auction/3494073
4/9/2020,8.0,,119.0,eBay,lawnman1183,Buy It Now,29061614,https://d1w8cc2yygc27j.cloudfront.net/-1635231643424939991/-7610621339309937608.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-dragonite-holo/auction/3524132
4/2/2020,9.0,,119.98,eBay,compusmartpr,Buy It Now,45070195,https://d1w8cc2yygc27j.cloudfront.net/4683150364261018208/-3362822637001026176.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-dragonite-holo/auction/3466033
3/18/2020,10.0,,167.5,eBay,svc051,Auction,45594939,https://d1w8cc2yygc27j.cloudfront.net/272302659556720763/-7985086258705006032.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-dragonite-holo/auction/3398103
2/10/2020,9.0,,79.95,eBay,tylezaeli0,Best Offer,42111202,https://d1w8cc2yygc27j.cloudfront.net/-2206525546492292306/-5911335104967609261.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-dragonite-holo/auction/3227961
1/3/2020,9.0,,79.98,eBay,compusmartpr,Best Offer,43688670,https://d1w8cc2yygc27j.cloudfront.net/-7361822524284646515/7615589702598304216.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-dragonite-holo/auction/3172421
11/29/2019,8.0,,41.0,eBay,pokemonauctioneer,Auction,25889740,https://d1w8cc2yygc27j.cloudfront.net/9207562029348141785/-4814937850591862615.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-dragonite-holo/auction/3118606
10/26/2019,10.0,,86.0,eBay,jakal2nd,Auction,40712384,https://d1w8cc2yygc27j.cloudfront.net/-3846164622874210734/975671044400140566.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-dragonite-holo/auction/3039387
