date,grade,qualifier,prize,auction_house,seller,sale_type,psa_certification,img_url,lot_url
5/15/2020,9.0,,110.5,eBay,jayspokemoncollection,Auction,28780430,https://d1w8cc2yygc27j.cloudfront.net/-2652135792696916962/6291966947867928175.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-togetic-holo/auction/3650991
5/6/2020,10.0,,1525.0,eBay,matsad0,Auction,43557065,https://d1w8cc2yygc27j.cloudfront.net/-756930553385347375/-3420491002670188537.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-togetic-holo/auction/3619763
5/4/2020,9.0,,65.0,eBay,masogunderso_0,Buy It Now,44969402,https://d1w8cc2yygc27j.cloudfront.net/6556460461433699512/8322740920295828899.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-togetic-holo/auction/3672359
4/30/2020,1.0,,36.0,eBay,pwcc_auctions,Auction,45019843,https://d1w8cc2yygc27j.cloudfront.net/-1448171016941835232/1340985798269129543.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-togetic-holo/auction/3570108
4/2/2020,9.0,,56.47,eBay,merchant-fox,Buy It Now,42311096,https://d1w8cc2yygc27j.cloudfront.net/-9176713838922748601/-8901578963486040097.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-togetic-holo/auction/3480182
11/29/2019,9.0,,26.0,eBay,pokemonauctioneer,Auction,28780430,https://d1w8cc2yygc27j.cloudfront.net/6715318746660102431/-7298780247322877226.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-togetic-holo/auction/3118637
9/9/2019,9.0,,43.95,eBay,dacardworld,Best Offer,25731808,https://d1w8cc2yygc27j.cloudfront.net/-8936571882358443327/-9171752353407235634.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-togetic-holo/auction/2941858
5/19/2019,7.0,,13.5,eBay,ajthrasher,Auction,41734297,https://d1w8cc2yygc27j.cloudfront.net/-9034122766558558979/-7237590588777562458.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-togetic-holo/auction/2623916
3/2/2019,8.0,,10.0,eBay,ajthrasher,Auction,41734299,https://d1w8cc2yygc27j.cloudfront.net/-904219981682946384/-3080231483434436940.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-togetic-holo/auction/2385957
10/30/2018,9.0,,38.0,eBay,pokemon_619,Best Offer,41192288,https://d1w8cc2yygc27j.cloudfront.net/1476278252478447127/8944845094336426116.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-togetic-holo/auction/2160187
9/4/2018,10.0,,325.0,eBay,krap7142,Auction,40712387,https://d1w8cc2yygc27j.cloudfront.net/-407625895813312980/-6780971696789819845.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-togetic-holo/auction/2104997
5/28/2018,8.0,,28.0,eBay,pwcc_auctions,Auction,24012030,https://d1w8cc2yygc27j.cloudfront.net/7447226353888670090/6436327499666574026.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-togetic-holo/auction/1763747
12/26/2017,9.0,,10.5,eBay,gallery57sales,Auction,27274788,https://d1w8cc2yygc27j.cloudfront.net/-804494995528797252/4982751456291732186.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-togetic-holo/auction/1170980
10/21/2017,9.0,,10.5,eBay,danny0025,Auction,27274788,https://d9nvuahg4xykp.cloudfront.net/-5788345909148509779/8707943715084016840.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-togetic-holo/auction/520751
6/19/2017,7.0,,10.0,eBay,pokemonpacific,Buy It Now,24823525,https://d9nvuahg4xykp.cloudfront.net/7381992660956645351/-1247454730060951978.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-togetic-holo/auction/1055216
5/15/2017,9.0,,35.0,eBay,11309btn,Best Offer,26769488,https://d9nvuahg4xykp.cloudfront.net/1929802446540394714/-7647692553877376988.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-togetic-holo/auction/834431
11/20/2016,8.0,,9.5,eBay,thomaweb5,Auction,26246233,https://d9nvuahg4xykp.cloudfront.net/-7299191322475156458/6666540414707171428.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/light-togetic-holo/auction/1102123
