date,grade,qualifier,prize,auction_house,seller,sale_type,psa_certification,img_url,lot_url
6/26/2020,8.0,,290.0,eBay,robk0215,Auction,45408455,https://d1w8cc2yygc27j.cloudfront.net/-2265215819404396667/3796371642157199919.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-celebi/auction/3908048
6/19/2020,8.0,,299.95,eBay,uncled1023,Buy It Now,43346002,https://d1w8cc2yygc27j.cloudfront.net/-2356620060140000229/3415019355513974144.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-celebi/auction/3914302
6/16/2020,9.0,,319.95,eBay,daisyjewels,Best Offer,25730813,https://d1w8cc2yygc27j.cloudfront.net/-144745754971979997/-374556621968049857.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-celebi/auction/3915286
5/28/2020,8.0,,299.95,eBay,uncled1023,Buy It Now,43346002,https://d1w8cc2yygc27j.cloudfront.net/5406620017609073213/3415019355513974144.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-celebi/auction/3769060
5/26/2020,7.0,,119.99,eBay,cardboardlegendsgaming,Best Offer,43915281,https://d1w8cc2yygc27j.cloudfront.net/-7218667186551992305/-3980219267029588661.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-celebi/auction/3729124
5/18/2020,7.0,,140.0,eBay,chasenbreaks1,Best Offer,45213793,https://d1w8cc2yygc27j.cloudfront.net/-2088863728658721518/-6104459147019972450.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-celebi/auction/3758958
5/13/2020,9.0,,279.95,eBay,curtiznojackson,Buy It Now,40721743,https://d1w8cc2yygc27j.cloudfront.net/-7711847625666075459/-8047500557000573479.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-celebi/auction/3680089
5/10/2020,8.5,,300.0,eBay,robberyrob,Buy It Now,40781425,https://d1w8cc2yygc27j.cloudfront.net/-5834787801416001042/9142982715565295953.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-celebi/auction/3662955
5/6/2020,10.0,,430.0,eBay,matsad0,Auction,27874025,https://d1w8cc2yygc27j.cloudfront.net/5808972201112705174/6255945144706205557.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-celebi/auction/3619126
5/5/2020,9.0,,219.99,eBay,pavao22,Best Offer,25730813,https://d1w8cc2yygc27j.cloudfront.net/-1615019511791772518/-8532307015835307495.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-celebi/auction/3678500
5/3/2020,8.0,,151.2,eBay,gradedpower,Buy It Now,42371294,https://d1w8cc2yygc27j.cloudfront.net/-2187109804205854502/9075781542276786117.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-celebi/auction/3663381
4/26/2020,8.0,,140.0,eBay,pokemondadofcrazykids,Best Offer,41936441,https://d1w8cc2yygc27j.cloudfront.net/8841287396972795372/2327228708299802895.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-celebi/auction/3562114
