date,grade,qualifier,prize,auction_house,seller,sale_type,psa_certification,img_url,lot_url
6/28/2020,1.0,,202.0,eBay,staygolden24seven,Auction,46608163,https://d1w8cc2yygc27j.cloudfront.net/-361343083007726001/-7965594317330352473.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-charizard/auction/3915222
6/19/2020,7.0,,693.0,eBay,robk0215,Auction,41974352,https://d1w8cc2yygc27j.cloudfront.net/-8062235164443717764/975807175988228482.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-charizard/auction/3867421
6/9/2020,1.0,,341.0,eBay,card_crazy11,Auction,44368968,https://d1w8cc2yygc27j.cloudfront.net/7348480660269439470/6242770173648626026.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-charizard/auction/3819049
6/9/2020,10.0,,4500.0,eBay,aramyaelviniegra1992,Buy It Now,41715776,https://d1w8cc2yygc27j.cloudfront.net/7728333115477777737/-5746981711093218673.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-charizard/auction/3866682
6/8/2020,6.0,,700.0,eBay,arons2013,Buy It Now,45555584,https://d1w8cc2yygc27j.cloudfront.net/5787140546520339886/-2582154563763008021.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-charizard/auction/3893627
6/7/2020,1.0,,239.5,eBay,zandbandw,Auction,46608163,https://d1w8cc2yygc27j.cloudfront.net/-5611556857092306530/940181864339867641.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-charizard/auction/3805062
6/5/2020,8.5,,1200.0,eBay,dbzsyed_7,Buy It Now,20459767,https://d1w8cc2yygc27j.cloudfront.net/-5293026316233099061/-6999280169573304673.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-charizard/auction/3828193
6/4/2020,10.0,,3700.0,eBay,mutsus8,Buy It Now,41203256,https://d1w8cc2yygc27j.cloudfront.net/2115118425760917790/-1997878509180201786.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-charizard/auction/3865170
5/31/2020,6.0,,550.0,eBay,stumpydan-360,Buy It Now,25581721,https://d1w8cc2yygc27j.cloudfront.net/3088933799520679481/-5127146979011379873.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-charizard/auction/3829515
5/23/2020,8.0,,860.0,eBay,hongkongphooey,Auction,46450252,https://d1w8cc2yygc27j.cloudfront.net/5085884758191100882/-8062521158179078815.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-charizard/auction/3703438
