date,grade,qualifier,prize,auction_house,seller,sale_type,psa_certification,img_url,lot_url
6/26/2020,9.0,,315.0,eBay,robk0215,Auction,45408456,https://d1w8cc2yygc27j.cloudfront.net/-8959005336381332810/-3402320106106988489.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-kabutops/auction/3906164
6/19/2020,8.0,,236.5,eBay,robk0215,Auction,41986320,https://d1w8cc2yygc27j.cloudfront.net/418208747959163218/6973892466797978534.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-kabutops/auction/3870723
6/16/2020,9.0,,349.99,eBay,cardhouse_eu,Best Offer,44332862,https://d1w8cc2yygc27j.cloudfront.net/-2293763969023364305/7106993006199609756.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-kabutops/auction/3890659
6/14/2020,10.0,,600.0,eBay,etquickfix,Auction,27853941,https://d1w8cc2yygc27j.cloudfront.net/-3042236296265197916/2207168367681014995.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-kabutops/auction/3830706
6/12/2020,8.0,,157.5,eBay,anythingcomics,Auction,41282765,https://d1w8cc2yygc27j.cloudfront.net/4992321575099577079/-3978417765684732903.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-kabutops/auction/3831966
6/12/2020,10.0,,415.0,eBay,pokeking_auz,Auction,28824182,https://d1w8cc2yygc27j.cloudfront.net/-7264892218192606692/-1375625210068130739.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-kabutops/auction/3831432
6/5/2020,9.0,,317.0,eBay,cole.blancett,Auction,41975741,https://d1w8cc2yygc27j.cloudfront.net/6323575883298345568/2542756866040246143.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-kabutops/auction/3785678
6/1/2020,10.0,,599.95,eBay,cardrushinc,Buy It Now,40789149,https://d1w8cc2yygc27j.cloudfront.net/7906856996510031815/-8060567017584274207.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-kabutops/auction/3831681
6/1/2020,9.0,,315.0,eBay,hongkongphooey,Buy It Now,46450249,https://d1w8cc2yygc27j.cloudfront.net/-4371772316570154744/1853072164177135470.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-kabutops/auction/3840848
5/6/2020,9.0,,179.99,eBay,tyz-abr777,Best Offer,28100201,https://d1w8cc2yygc27j.cloudfront.net/-6214467233322553001/-5705710307635762674.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-kabutops/auction/3642875
5/3/2020,9.0,,175.0,eBay,daworld99,Best Offer,26801572,https://d1w8cc2yygc27j.cloudfront.net/6118460050732992021/1396858922319832379.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-kabutops/auction/3671250
5/2/2020,9.0,,187.5,eBay,niv-nva-3lu5406b4q,Auction,42768961,https://d1w8cc2yygc27j.cloudfront.net/7390765303969314376/8907532705692197443.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-kabutops/auction/3595727
4/26/2020,9.0,,195.0,eBay,tyz-abr777,Buy It Now,28100201,https://d1w8cc2yygc27j.cloudfront.net/7870871515564880440/-5705710307635762674.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-kabutops/auction/3582797
4/23/2020,10.0,,499.99,eBay,cardboardkrackshack,Buy It Now,41156286,https://d1w8cc2yygc27j.cloudfront.net/818893161843578126/6112304133320046604.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-kabutops/auction/3524817
3/26/2020,9.0,(MK),110.0,eBay,james_rocket157,Best Offer,44882544,https://d1w8cc2yygc27j.cloudfront.net/-9151203366221834599/4198664804318156144.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-kabutops/auction/3449382
3/25/2020,7.0,,81.0,eBay,daniel6495,Auction,45637211,https://d1w8cc2yygc27j.cloudfront.net/5586796368424476930/7712021000075993807.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-kabutops/auction/3418769
3/8/2020,7.0,,67.77,eBay,cdn-cards,Auction,44537681,https://d1w8cc2yygc27j.cloudfront.net/1924726497204036420/-3515522994912865511.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-kabutops/auction/3367411
3/7/2020,1.0,,60.17,eBay,sad_dragoon,Best Offer,43900248,https://d1w8cc2yygc27j.cloudfront.net/8236028279274223006/2057942852201699890.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-kabutops/auction/3364359
1/25/2020,10.0,,240.0,eBay,psa10mew,Buy It Now,28402903,https://d1w8cc2yygc27j.cloudfront.net/7135718680690498860/-5258886394056113018.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-kabutops/auction/3302439
1/6/2020,9.0,,135.42,eBay,mr_nyah,Best Offer,43691566,https://d1w8cc2yygc27j.cloudfront.net/-6918980184679393046/-6947458888736188324.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-kabutops/auction/3191742
1/1/2020,9.0,,105.0,eBay,alex-sales04,Auction,44691491,https://d1w8cc2yygc27j.cloudfront.net/-3337775624100452885/4471651807520458659.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-kabutops/auction/3218744
11/4/2019,9.0,,117.5,eBay,landedviking808,Auction,27414316,https://d1w8cc2yygc27j.cloudfront.net/-8177984952259434348/2549600495007440358.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-kabutops/auction/3063291
10/21/2019,2.0,,52.93,eBay,belkizaval5,Best Offer,43793143,https://d1w8cc2yygc27j.cloudfront.net/-7092652679447919295/1107923432906818179.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-kabutops/auction/3038314
10/16/2019,10.0,,227.66,eBay,benzloc,Best Offer,27030317,https://d1w8cc2yygc27j.cloudfront.net/6703626385010894605/-7889123153531593542.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-kabutops/auction/3024269
