date,grade,qualifier,prize,auction_house,seller,sale_type,psa_certification,img_url,lot_url
6/26/2020,8.0,,385.0,eBay,robk0215,Auction,27079854,https://d1w8cc2yygc27j.cloudfront.net/-3671009606530358195/7625411961386874055.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-mewtwo/auction/3907384
6/16/2020,8.0,,339.99,eBay,moofficer,Buy It Now,46271117,https://d1w8cc2yygc27j.cloudfront.net/7268211479935962499/-3185770904196971285.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-mewtwo/auction/3872026
6/15/2020,7.0,,241.5,eBay,mymanjustin,Auction,46882973,https://d1w8cc2yygc27j.cloudfront.net/-2952872369656425290/1228966355680815175.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-mewtwo/auction/3843591
6/12/2020,8.0,,379.99,eBay,dopestcases,Buy It Now,45567648,https://d1w8cc2yygc27j.cloudfront.net/7280313856317824394/-5975823695086572991.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-mewtwo/auction/3866562
6/5/2020,5.0,,154.5,eBay,playapimpmex,Auction,40821294,https://d1w8cc2yygc27j.cloudfront.net/-2324063557352169806/-1348685390263648050.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-mewtwo/auction/3782989
6/2/2020,9.0,,550.0,eBay,mikescardsandstuff,Buy It Now,28292549,https://d1w8cc2yygc27j.cloudfront.net/9156149189643419583/-8373598570000793292.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-mewtwo/auction/3793394
6/1/2020,8.5,,485.0,eBay,roda11,Buy It Now,42095596,https://d1w8cc2yygc27j.cloudfront.net/-2570049038961375162/-7465844578154170400.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-mewtwo/auction/3808433
6/1/2020,8.0,,380.0,eBay,favorable_winds,Auction,41217485,https://d1w8cc2yygc27j.cloudfront.net/8666236235228302447/-2679789977027613491.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-mewtwo/auction/3742497
5/29/2020,8.0,,345.0,eBay,robash-31,Auction,45993034,https://d1w8cc2yygc27j.cloudfront.net/2578220718309341879/2143091499052541865.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-mewtwo/auction/3717582
5/23/2020,5.0,,200.0,eBay,playapimpmex,Auction,40821294,https://d1w8cc2yygc27j.cloudfront.net/-4121183452851186071/-1348685390263648050.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-mewtwo/auction/3693671
5/21/2020,9.0,,524.99,eBay,kylaudens-0,Buy It Now,26227888,https://d1w8cc2yygc27j.cloudfront.net/5015378876292036939/-6766501419904088128.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-mewtwo/auction/3754545
5/17/2020,10.0,,1425.0,eBay,tnd8,Best Offer,41626843,https://d1w8cc2yygc27j.cloudfront.net/-2921919771520622244/-855828013689681009.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-mewtwo/auction/3758608
5/17/2020,9.0,,549.99,eBay,kydan-162,Buy It Now,45027373,https://d1w8cc2yygc27j.cloudfront.net/4893189834380408737/-1870049256925300097.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-mewtwo/auction/3770446
5/13/2020,8.0,,349.99,eBay,spexogron,Buy It Now,44625183,https://d1w8cc2yygc27j.cloudfront.net/3753604085036453623/8656259316042969878.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-mewtwo/auction/3770948
5/11/2020,10.0,,1199.99,eBay,churlocker,Best Offer,41048449,https://d1w8cc2yygc27j.cloudfront.net/6038690192746782599/615095730328667588.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-mewtwo/auction/3731799
4/21/2020,5.0,,125.0,eBay,richarturne-13,Buy It Now,28854603,https://d1w8cc2yygc27j.cloudfront.net/9213800161324328329/-1425305790321864715.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-mewtwo/auction/3584451
4/18/2020,5.0,,150.0,eBay,richarturne-13,Buy It Now,28854603,https://d1w8cc2yygc27j.cloudfront.net/4324405411864750488/-1425305790321864715.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-mewtwo/auction/3530706
4/15/2020,9.0,,360.0,eBay,angdago18,Buy It Now,41515197,https://d1w8cc2yygc27j.cloudfront.net/-4805175042479164187/5023537902050037397.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-mewtwo/auction/3549033
4/12/2020,9.0,,450.0,eBay,angdago18,Buy It Now,41515197,https://d1w8cc2yygc27j.cloudfront.net/-5330107259981852625/5023537902050037397.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-mewtwo/auction/3511354
3/25/2020,9.0,,340.0,eBay,daniel6495,Auction,45637212,https://d1w8cc2yygc27j.cloudfront.net/-1593370524454279153/-5636906465508893666.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-mewtwo/auction/3417999
2/18/2020,7.0,,140.0,eBay,jbo252,Best Offer,43963825,https://d1w8cc2yygc27j.cloudfront.net/-3618337538818744981/-5936661624652782669.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-mewtwo/auction/3309968
1/17/2020,10.0,,575.0,eBay,dccards401,Best Offer,28671554,https://d1w8cc2yygc27j.cloudfront.net/-3405272089538260717/9116013547065848897.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-mewtwo/auction/3216803
1/16/2020,8.0,,179.99,eBay,o.t.2014,Best Offer,43690539,https://d1w8cc2yygc27j.cloudfront.net/1934015510154871529/-6626001080426778724.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-mewtwo/auction/3259906
1/8/2020,7.0,,117.57,eBay,tyke24,Auction,41879515,https://d1w8cc2yygc27j.cloudfront.net/7360336299333910927/-3636938070909231839.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-mewtwo/auction/3306027
1/1/2020,7.0,,105.0,eBay,alex-sales04,Auction,44691494,https://d1w8cc2yygc27j.cloudfront.net/2661648766455483851/-5690282083117785047.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-mewtwo/auction/3268262
12/23/2019,9.0,,147.5,eBay,pwcc_auctions,Auction,40851091,https://d1w8cc2yygc27j.cloudfront.net/8514876453554974908/8767885322420898947.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-mewtwo/auction/3315821
12/23/2019,9.0,,175.0,eBay,specific-gravity,Best Offer,42371295,https://d1w8cc2yygc27j.cloudfront.net/6567348020773620722/-8335476306796381116.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-mewtwo/auction/3296330
12/17/2019,8.0,,100.0,eBay,thegoodlifefinds_0109,Auction,40841652,https://d1w8cc2yygc27j.cloudfront.net/4423013081616753953/7165600470581002069.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-mewtwo/auction/3281054
11/26/2019,7.0,,90.0,eBay,pwcc_auctions,Auction,44033684,https://d1w8cc2yygc27j.cloudfront.net/6765918192709335874/-6059869150910249883.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-mewtwo/auction/3113724
11/26/2019,6.0,,71.0,eBay,pwcc_auctions,Auction,44033683,https://d1w8cc2yygc27j.cloudfront.net/6137201438398625611/4446227957189485906.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-mewtwo/auction/3113723
