date,grade,qualifier,prize,auction_house,seller,sale_type,psa_certification,img_url,lot_url
6/19/2020,8.0,,200.0,eBay,cagra-6945,Buy It Now,41735043,https://d1w8cc2yygc27j.cloudfront.net/-3437362516976319573/-4932380971124807326.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-noctowl/auction/3913799
6/15/2020,10.0,,499.0,eBay,tn--cards,Buy It Now,42609428,https://d1w8cc2yygc27j.cloudfront.net/-4475048659512794304/3577679418415336387.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-noctowl/auction/3913285
5/8/2020,10.0,,499.99,eBay,cardboardkrackshack,Buy It Now,28671557,https://d1w8cc2yygc27j.cloudfront.net/-5955826377347745731/9161968503234943912.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-noctowl/auction/3629271
5/8/2020,10.0,,370.0,eBay,matsad0,Auction,42306293,https://d1w8cc2yygc27j.cloudfront.net/6331495364672493135/3437916621023078480.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-noctowl/auction/3632608
4/24/2020,3.0,,60.0,eBay,card_crazy11,Auction,29039307,https://d1w8cc2yygc27j.cloudfront.net/6809233614513900690/2950502710713195404.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-noctowl/auction/3530728
4/24/2020,10.0,,375.0,eBay,cna4ever87,Best Offer,28228847,https://d1w8cc2yygc27j.cloudfront.net/-908491903676172225/-4539691592196131064.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-noctowl/auction/3602857
4/8/2020,6.0,,67.0,eBay,coins_n_rarities,Auction,45981058,https://d1w8cc2yygc27j.cloudfront.net/-1844344346490189517/-7511527207788242358.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-noctowl/auction/3457671
3/31/2020,10.0,,429.99,eBay,cardboardkrackshack,Best Offer,28671557,https://d1w8cc2yygc27j.cloudfront.net/-1561897200617005373/9161968503234943912.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-noctowl/auction/3437326
3/14/2020,10.0,,294.96,eBay,coins_n_rarities,Auction,42087348,https://d1w8cc2yygc27j.cloudfront.net/-3007522196119061334/-4775805166750041080.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-noctowl/auction/3383688
3/11/2020,7.0,,93.16,eBay,vecchiojoe2005,Auction,45553639,https://d1w8cc2yygc27j.cloudfront.net/8248235060061884368/8909615055232979566.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-noctowl/auction/3375745
2/24/2020,10.0,,245.37,eBay,allproproducts,Auction,28115874,https://d1w8cc2yygc27j.cloudfront.net/-3167381764698826192/-8913741237354808762.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-noctowl/auction/3327061
2/22/2020,9.0,,140.95,eBay,dacardworld,Best Offer,25730816,https://d1w8cc2yygc27j.cloudfront.net/6512228869659761405/-3080234795748331541.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-noctowl/auction/3337426
1/28/2020,8.0,,67.0,eBay,pwcc_auctions,Auction,44033686,https://d1w8cc2yygc27j.cloudfront.net/6975487240205426209/-1506109517852461601.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-noctowl/auction/3303711
1/9/2020,9.0,,179.99,eBay,hyper-blue,Best Offer,29043755,https://d1w8cc2yygc27j.cloudfront.net/1258448308022422991/3599878933846183332.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-noctowl/auction/3253368
1/1/2020,8.0,,100.0,eBay,zoostoylab,Best Offer,44596882,https://d1w8cc2yygc27j.cloudfront.net/7813435548060108056/-8038806871138034346.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-noctowl/auction/3309639
11/27/2019,10.0,,196.0,eBay,gradedpower,Best Offer,29057768,https://d1w8cc2yygc27j.cloudfront.net/-6385724816606931263/6539012984614731425.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-noctowl/auction/3118852
11/26/2019,8.0,,71.0,eBay,pwcc_auctions,Auction,44033686,https://d1w8cc2yygc27j.cloudfront.net/6050164380811175885/5049975561880583900.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-noctowl/auction/3113726
11/16/2019,9.0,,114.75,eBay,curtiznojackson,Best Offer,40721744,https://d1w8cc2yygc27j.cloudfront.net/-126282491040629560/-3173137097213018868.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-noctowl/auction/3092930
11/12/2019,9.0,,106.4,eBay,gradedpower,Best Offer,29057767,https://d1w8cc2yygc27j.cloudfront.net/4588425012589726824/-5523527523579106356.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-noctowl/auction/3085836
11/5/2019,10.0,,197.85,eBay,theparttimeseller,Best Offer,41250520,https://d1w8cc2yygc27j.cloudfront.net/-3523399614506939256/-7905363713200390342.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-noctowl/auction/3065132
11/4/2019,9.0,,82.0,eBay,landedviking808,Auction,25843771,https://d1w8cc2yygc27j.cloudfront.net/-2975620455451539356/1027392860479837362.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-noctowl/auction/3062196
10/1/2019,9.0,,110.0,eBay,angrydane14,Buy It Now,41100480,https://d1w8cc2yygc27j.cloudfront.net/-6940821372300827403/6343477407370554445.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-noctowl/auction/2988618
9/17/2019,7.0,,63.0,eBay,isellstuff*,Auction,41787606,https://d1w8cc2yygc27j.cloudfront.net/2358932262152046678/-2395863946316603691.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-noctowl/auction/2954085
9/11/2019,10.0,,389.99,eBay,cardboardkrackshack,Best Offer,28671556,https://d1w8cc2yygc27j.cloudfront.net/3296293850628713184/4596052387119346811.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-noctowl/auction/2941948
9/1/2019,9.0,,104.94,eBay,petipasscl,Best Offer,43350027,https://d1w8cc2yygc27j.cloudfront.net/6639182302361032266/-1906294351362930932.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-noctowl/auction/2922323
8/25/2019,7.0,,56.0,eBay,tibo1988,Auction,44280344,https://d1w8cc2yygc27j.cloudfront.net/-4604692397765403572/-151394366619575143.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-noctowl/auction/2902310
8/12/2019,7.0,,66.99,eBay,pok_e_joe,Auction,42932145,https://d1w8cc2yygc27j.cloudfront.net/-6344921191864618432/-2647874797138405113.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-noctowl/auction/2859292
7/28/2019,8.0,,79.99,eBay,qcgamingllc,Best Offer,42531961,https://d1w8cc2yygc27j.cloudfront.net/3269856591765481714/-8696611069224048490.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-noctowl/auction/2831748
7/23/2019,10.0,,150.0,eBay,pokegem10,Buy It Now,24809081,https://d1w8cc2yygc27j.cloudfront.net/-3996113387756555598/-664189504002180532.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-noctowl/auction/2814909
7/7/2019,8.0,,69.99,eBay,bigta1986,Buy It Now,41776974,https://d1w8cc2yygc27j.cloudfront.net/-2822475780085028165/-7636587956598990942.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-noctowl/auction/2775201
