date,grade,qualifier,prize,auction_house,seller,sale_type,psa_certification,img_url,lot_url
6/26/2020,9.0,,390.0,eBay,robk0215,Auction,28730311,https://d1w8cc2yygc27j.cloudfront.net/-2932263110645589027/9143872432215576821.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-raichu/auction/3907483
6/19/2020,7.0,,306.0,eBay,robk0215,Auction,45408458,https://d1w8cc2yygc27j.cloudfront.net/5246706227926660183/7123192232144010087.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-raichu/auction/3871723
6/12/2020,10.0,,550.0,eBay,pokeking_auz,Auction,28824186,https://d1w8cc2yygc27j.cloudfront.net/6262572301382897851/4315010702733746999.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-raichu/auction/3831433
5/21/2020,9.0,,581.5,eBay,2015.sitav,Best Offer,40964194,https://d1w8cc2yygc27j.cloudfront.net/-8240775081160379933/-1578936556833731097.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-raichu/auction/3776448
5/15/2020,8.0,,229.0,eBay,4chicagojoe,Buy It Now,41879525,https://d1w8cc2yygc27j.cloudfront.net/3022981918952709086/-5442320822799003629.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-raichu/auction/3767240
5/15/2020,9.0,,400.0,eBay,2015.sitav,Best Offer,28427012,https://d1w8cc2yygc27j.cloudfront.net/-6710615104267329284/2564522839786745274.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-raichu/auction/3649343
5/7/2020,9.0,,299.99,eBay,dutrad19,Best Offer,40964194,https://d1w8cc2yygc27j.cloudfront.net/-7505870072431382419/-1393518810505352098.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-raichu/auction/3689231
5/6/2020,10.0,,455.0,eBay,matsad0,Auction,41934808,https://d1w8cc2yygc27j.cloudfront.net/8611632959673814250/3740554306712434902.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-raichu/auction/3620777
4/30/2020,8.0,,195.5,eBay,pwcc_auctions,Auction,44033687,https://d1w8cc2yygc27j.cloudfront.net/2104250920140676574/4660305870428021793.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-raichu/auction/3571151
4/14/2020,7.0,,125.0,eBay,scoteme0,Auction,44498568,https://d1w8cc2yygc27j.cloudfront.net/-3169666690435929331/8155471550151975136.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-raichu/auction/3482375
