date,grade,qualifier,prize,auction_house,seller,sale_type,psa_certification,img_url,lot_url
6/19/2020,10.0,,730.0,eBay,robk0215,Auction,45408459,https://d1w8cc2yygc27j.cloudfront.net/6091458129248282001/-6495746908185169066.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-steelix/auction/3871724
5/28/2020,8.0,,299.95,eBay,uncled1023,Buy It Now,43346000,https://d1w8cc2yygc27j.cloudfront.net/-6488133510673232287/7236375773218889011.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-steelix/auction/3769058
5/22/2020,7.0,,114.5,eBay,tobiathange_0,Auction,45351186,https://d1w8cc2yygc27j.cloudfront.net/2331583188067850089/5236332047806468278.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-steelix/auction/3702089
5/18/2020,9.0,,299.99,eBay,jeth735,Buy It Now,43161423,https://d1w8cc2yygc27j.cloudfront.net/1769261861110018170/8086488579320864880.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-steelix/auction/3768577
5/18/2020,10.0,,799.99,eBay,cardboardkrackshack,Buy It Now,28671546,https://d1w8cc2yygc27j.cloudfront.net/-1331058189246489997/4506024664876476355.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-steelix/auction/3738260
5/10/2020,5.0,,390.0,eBay,4chicagojoe,Buy It Now,43414342,https://d1w8cc2yygc27j.cloudfront.net/3397527594339433605/6213613014330017931.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-steelix/auction/3741067
5/8/2020,10.0,,375.0,eBay,1022207,Buy It Now,29076426,https://d1w8cc2yygc27j.cloudfront.net/4272127201582993395/-2085424517978902834.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-steelix/auction/3683709
5/2/2020,9.0,,199.99,eBay,pavao22,Best Offer,26315028,https://d1w8cc2yygc27j.cloudfront.net/59047403344147646/4359194559384319414.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-steelix/auction/3599508
4/15/2020,10.0,,310.0,eBay,kylaudens-0,Best Offer,44724197,https://d1w8cc2yygc27j.cloudfront.net/-4304089775204614546/7310186702753653365.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-steelix/auction/3549776
4/8/2020,10.0,,449.99,eBay,cardhouse_eu,Best Offer,44332864,https://d1w8cc2yygc27j.cloudfront.net/-2044162002986184974/-8731185855203131980.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-steelix/auction/3482320
4/7/2020,10.0,,350.0,eBay,baka-kishi,Buy It Now,42550936,https://d1w8cc2yygc27j.cloudfront.net/-6135957329920492791/-817492223063668080.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-steelix/auction/3456967
4/7/2020,10.0,,300.0,eBay,1022207,Buy It Now,29076426,https://d1w8cc2yygc27j.cloudfront.net/8528714855025778187/-2085424517978902834.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-steelix/auction/3470456
3/13/2020,3.0,,58.95,eBay,dacardworld,Best Offer,43688110,https://d1w8cc2yygc27j.cloudfront.net/303523584692384422/5160101598801478820.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-steelix/auction/3382625
3/8/2020,6.0,,99.0,eBay,kiunsangpoa,Auction,25398818,https://d1w8cc2yygc27j.cloudfront.net/3475887031631725743/1330218502152937659.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-steelix/auction/3366641
2/6/2020,9.0,,139.99,eBay,vintagecollectoroft206,Best Offer,40697158,https://d1w8cc2yygc27j.cloudfront.net/5239414183377895258/5362397834421423359.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-steelix/auction/3286193
1/28/2020,9.0,,117.5,eBay,pwcc_auctions,Auction,44033681,https://d1w8cc2yygc27j.cloudfront.net/5857899813459852092/8667616960788025763.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-steelix/auction/3293834
1/8/2020,10.0,,215.0,eBay,tyke24,Auction,28647354,https://d1w8cc2yygc27j.cloudfront.net/-8316598384378140342/-2279298990611139612.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-steelix/auction/3184646
12/23/2019,9.0,,83.0,eBay,lezard_flamez,Auction,43777159,https://d1w8cc2yygc27j.cloudfront.net/-2619809806614204865/8751841406901789726.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-steelix/auction/3225252
12/1/2019,9.0,,80.93,eBay,malakapousti,Auction,25424232,https://d1w8cc2yygc27j.cloudfront.net/-817954434288348272/1895585613391543999.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-steelix/auction/3121518
11/26/2019,9.0,,100.0,eBay,pwcc_auctions,Auction,44033681,https://d1w8cc2yygc27j.cloudfront.net/1931791915544888425/-75834868426871419.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-steelix/auction/3113721
11/26/2019,8.0,,86.0,eBay,pwcc_auctions,Auction,44033680,https://d1w8cc2yygc27j.cloudfront.net/209275476940241935/2176558681386372570.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-steelix/auction/3113720
11/13/2019,10.0,,269.99,eBay,hamilrya_u8eeo,Best Offer,42087346,https://d1w8cc2yygc27j.cloudfront.net/-2894670458629824386/-3115034963281777210.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-steelix/auction/3084667
11/4/2019,6.0,,46.0,eBay,probstein123,Auction,44087064,https://d1w8cc2yygc27j.cloudfront.net/-8247837982736356107/-7845229927875928557.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-steelix/auction/3061632
11/4/2019,8.0,,63.0,eBay,landedviking808,Auction,28129553,https://d1w8cc2yygc27j.cloudfront.net/4866974154698193624/-2424055710938239875.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-steelix/auction/3061297
10/16/2019,6.0,,43.0,eBay,nismocollection,Auction,43697668,https://d1w8cc2yygc27j.cloudfront.net/-7839942003895082684/-7179201234419495265.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-steelix/auction/3019486
10/13/2019,10.0,,160.0,eBay,amc117,Auction,42087346,https://d1w8cc2yygc27j.cloudfront.net/-7323970552447511013/5723657782864853846.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-steelix/auction/3009850
9/29/2019,9.0,,63.0,eBay,fishman104,Auction,41231260,https://d1w8cc2yygc27j.cloudfront.net/-9150981986174472616/6124830470208640442.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-steelix/auction/2980492
9/12/2019,10.0,,229.99,eBay,isellstuff*,Best Offer,43704415,https://d1w8cc2yygc27j.cloudfront.net/-3093055519388026590/5875259221358131580.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-steelix/auction/2952117
7/25/2019,10.0,,162.5,eBay,vtgdragons,Auction,27168773,https://d1w8cc2yygc27j.cloudfront.net/6944393188758457450/-7291467780791866286.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-steelix/auction/2815081
7/19/2019,9.0,,113.99,eBay,dans_games_and_things,Best Offer,43215794,https://d1w8cc2yygc27j.cloudfront.net/-5048151040759366114/-6071804872339914336.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-steelix/auction/2810743
7/5/2019,10.0,,146.5,eBay,vtgdragons,Auction,22798556,https://d1w8cc2yygc27j.cloudfront.net/-7750276781848516746/3142624096691221120.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-steelix/auction/2759895
7/2/2019,8.0,,89.99,eBay,greater_possibility,Auction,42549242,https://d1w8cc2yygc27j.cloudfront.net/-7755061472089350270/674526963207390694.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-steelix/auction/2755923
6/29/2019,10.0,,172.5,eBay,tyleres121297,Auction,28899044,https://d1w8cc2yygc27j.cloudfront.net/6080116284535692975/-8670920533882380703.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-steelix/auction/2745710
6/16/2019,9.0,,145.0,eBay,dezod80-4,Best Offer,23360595,https://d1w8cc2yygc27j.cloudfront.net/565656099224424233/-5658497380874499703.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-steelix/auction/2718321
6/1/2019,9.0,,74.46,eBay,jollyhobbyshop,Auction,25424232,https://d1w8cc2yygc27j.cloudfront.net/3907609896749884420/3061240207988979317.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-steelix/auction/2662362
5/26/2019,9.0,,95.25,eBay,ajthrasher,Auction,41879516,https://d1w8cc2yygc27j.cloudfront.net/2365939926287538452/-3756413648819503955.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-steelix/auction/2644432
5/26/2019,8.0,,132.5,eBay,numismaticsgmc,Auction,43553247,https://d1w8cc2yygc27j.cloudfront.net/-7104572781508605295/184782587265016971.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-steelix/auction/2641781
