date,grade,qualifier,prize,auction_house,seller,sale_type,psa_certification,img_url,lot_url
6/26/2020,8.0,,405.0,eBay,robk0215,Auction,43600601,https://d1w8cc2yygc27j.cloudfront.net/954639067502875037/-2917358052183705129.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-tyranitar/auction/3909889
6/23/2020,10.0,,1055.65,eBay,antle2924,Auction,27874014,https://d1w8cc2yygc27j.cloudfront.net/8788374245879459291/4680112428622306147.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-tyranitar/auction/3900914
6/19/2020,8.0,,360.77,eBay,robk0215,Auction,46494373,https://d1w8cc2yygc27j.cloudfront.net/-8034799956066507143/551872505715285316.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-tyranitar/auction/3867434
6/18/2020,8.0,,282.0,eBay,anythingcomics,Auction,44250859,https://d1w8cc2yygc27j.cloudfront.net/7853840510647762584/-7129295770856466067.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-tyranitar/auction/3866711
6/16/2020,9.0,,650.0,eBay,pokeologist,Buy It Now,46775506,https://d1w8cc2yygc27j.cloudfront.net/-8464647733791347519/-5224297218948828647.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-tyranitar/auction/3911601
6/14/2020,10.0,,1499.0,eBay,tianzhou753,Buy It Now,44809109,https://d1w8cc2yygc27j.cloudfront.net/2954362074336221146/-1590947799876874068.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-tyranitar/auction/3852062
6/7/2020,9.0,,545.0,eBay,zwebb91,Buy It Now,41879520,https://d1w8cc2yygc27j.cloudfront.net/7953039208547722421/608668794273057572.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-tyranitar/auction/3832328
5/27/2020,7.0,,299.95,eBay,uncled1023,Buy It Now,43346001,https://d1w8cc2yygc27j.cloudfront.net/4814605087071055238/-3433483051503572112.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-tyranitar/auction/3769059
5/27/2020,9.0,,650.0,eBay,pokeologist,Buy It Now,46775506,https://d1w8cc2yygc27j.cloudfront.net/-3880889002351234987/-5224297218948828647.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-tyranitar/auction/3784432
5/22/2020,8.0,,270.0,eBay,tobiathange_0,Auction,44724193,https://d1w8cc2yygc27j.cloudfront.net/-8945113615449591015/-5389538361808733428.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-tyranitar/auction/3687383
5/17/2020,8.0,,270.0,eBay,hongkongphooey,Buy It Now,46450255,https://d1w8cc2yygc27j.cloudfront.net/6114619234423789918/4419257660076636250.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-tyranitar/auction/3773372
5/5/2020,4.0,,119.99,eBay,flyorah,Buy It Now,44888931,https://d1w8cc2yygc27j.cloudfront.net/1708750977709117273/-3255888604471107828.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-tyranitar/auction/3669333
5/4/2020,3.0,,159.99,eBay,chasenbreaks1,Best Offer,45213792,https://d1w8cc2yygc27j.cloudfront.net/-5067524356296942242/-9064882275623242285.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-tyranitar/auction/3652560
4/28/2020,4.0,,139.99,eBay,cardcollector2_sportscards,Buy It Now,44888931,https://d1w8cc2yygc27j.cloudfront.net/8364364648493199885/-2668802426579541607.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-tyranitar/auction/3616046
4/26/2020,8.0,,234.27,eBay,cdn-cards,Auction,44517078,https://d1w8cc2yygc27j.cloudfront.net/-8876408756933446172/8259938771263974098.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-tyranitar/auction/3546932
4/7/2020,8.0,,160.5,eBay,blackbeardsportscards,Best Offer,45982732,https://d1w8cc2yygc27j.cloudfront.net/-5430270069195700676/-3591880349769093456.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-tyranitar/auction/3464085
4/6/2020,9.0,,200.0,eBay,ausmgaming,Buy It Now,44976862,https://d1w8cc2yygc27j.cloudfront.net/8791267083001927607/-627902073934935676.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-tyranitar/auction/3470512
3/28/2020,9.0,,220.0,eBay,james_rocket157,Best Offer,46294070,https://d1w8cc2yygc27j.cloudfront.net/200013550670323750/-8237590658423273011.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-tyranitar/auction/3454816
3/26/2020,9.0,,209.5,eBay,gemgradingauctions,Auction,46035204,https://d1w8cc2yygc27j.cloudfront.net/-2697217362086990958/256703458371793699.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-tyranitar/auction/3420569
3/2/2020,9.0,,177.5,eBay,probstein123,Auction,44087065,https://d1w8cc2yygc27j.cloudfront.net/-7164855940344051066/-7900950865000908452.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-tyranitar/auction/3353915
3/1/2020,8.0,,148.99,eBay,cdn-cards,Auction,44517078,https://d1w8cc2yygc27j.cloudfront.net/-1118554554651459605/8259938771263974098.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-tyranitar/auction/3349799
2/24/2020,9.0,,210.0,eBay,ghe29916190,Auction,44829584,https://d1w8cc2yygc27j.cloudfront.net/5740865691986272488/404092724628220294.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-tyranitar/auction/3328486
2/3/2020,10.0,,450.0,eBay,brojas13,Best Offer,28524433,https://d1w8cc2yygc27j.cloudfront.net/5629766963960807092/-2795771893272178502.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-tyranitar/auction/3290628
2/1/2020,9.0,,153.11,eBay,patricworsle0,Auction,43885001,https://d1w8cc2yygc27j.cloudfront.net/-3102273467740916349/4115008336623665975.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-tyranitar/auction/3217726
1/29/2020,8.0,,145.0,eBay,kingbinx617,Best Offer,42427627,https://d1w8cc2yygc27j.cloudfront.net/2653330421609674078/6518294075696415843.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-tyranitar/auction/3266734
1/16/2020,10.0,,350.0,eBay,anndro1,Best Offer,27046344,https://d1w8cc2yygc27j.cloudfront.net/4316003930467133903/3437425168072852599.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-tyranitar/auction/3279048
1/15/2020,9.0,,184.99,eBay,slydel86,Buy It Now,44790335,https://d1w8cc2yygc27j.cloudfront.net/-3989437780999050422/9135919080044108702.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-tyranitar/auction/3212059
1/1/2020,7.0,,71.0,eBay,alex-sales04,Auction,44691490,https://d1w8cc2yygc27j.cloudfront.net/-6972403349361461496/6156526746165255823.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-tyranitar/auction/3174937
1/1/2020,9.0,,155.0,eBay,jameburro81,Auction,43690540,https://d1w8cc2yygc27j.cloudfront.net/6072365504854157208/1842255905840528915.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-tyranitar/auction/3293385
12/14/2019,10.0,,502.0,eBay,numismaticsgmc,Auction,41940491,https://d1w8cc2yygc27j.cloudfront.net/-247693424010261380/-3071196595152336743.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-tyranitar/auction/3153317
11/26/2019,8.0,,150.0,eBay,poke_card_center,Best Offer,41992128,https://d1w8cc2yygc27j.cloudfront.net/-8118244564423844383/-6527139840939819157.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-tyranitar/auction/3118830
11/4/2019,9.0,,202.5,eBay,landedviking808,Auction,28222924,https://d1w8cc2yygc27j.cloudfront.net/-3504182545789275223/-5875226703051957509.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-tyranitar/auction/3061151
10/16/2019,9.0,,149.99,eBay,vintagecollectoroft206,Best Offer,40697159,https://d1w8cc2yygc27j.cloudfront.net/3626575088427482852/-6429830401740486034.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-tyranitar/auction/3021962
8/30/2019,7.0,,71.0,eBay,tblight92,Auction,43658019,https://d1w8cc2yygc27j.cloudfront.net/8793931437462704047/-5953849674001262902.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-tyranitar/auction/2916150
8/26/2019,10.0,,280.58,eBay,cvgaming,Auction,43583301,https://d1w8cc2yygc27j.cloudfront.net/1580283435595646059/-9065189534841843648.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-tyranitar/auction/2906073
8/4/2019,10.0,,320.0,eBay,cvgaming,Auction,43583301,https://d1w8cc2yygc27j.cloudfront.net/888881558029791105/-9065189534841843648.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-tyranitar/auction/2841987
7/20/2019,8.0,,98.0,eBay,edudel25,Auction,41837605,https://d1w8cc2yygc27j.cloudfront.net/3536422418052001232/8153034863933945055.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-tyranitar/auction/2798453
7/15/2019,10.0,,500.0,eBay,cardboardkrackshack,Best Offer,28671551,https://d1w8cc2yygc27j.cloudfront.net/1410158530492658975/-2876340195480474600.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-tyranitar/auction/2796023
7/7/2019,8.0,,162.5,eBay,edudel25,Auction,41837605,https://d1w8cc2yygc27j.cloudfront.net/-3873921883305723478/8153034863933945055.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-tyranitar/auction/2764219
7/5/2019,8.0,,119.99,eBay,dans_games_and_things,Best Offer,43215788,https://d1w8cc2yygc27j.cloudfront.net/-8822865051640982702/283111357161939840.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-tyranitar/auction/2769987
6/29/2019,10.0,,270.0,eBay,tyleres121297,Auction,25250732,https://d1w8cc2yygc27j.cloudfront.net/8241879554327887585/-5747089086049982435.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-tyranitar/auction/2745760
6/16/2019,7.0,,52.0,eBay,ajthrasher,Auction,41879522,https://d1w8cc2yygc27j.cloudfront.net/-8934698447806694315/-7699082341747912734.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-tyranitar/auction/2708857
6/8/2019,7.0,,71.0,eBay,ajthrasher,Auction,41879522,https://d1w8cc2yygc27j.cloudfront.net/-4021542249066570085/-7699082341747912734.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-tyranitar/auction/2681213
6/7/2019,9.0,,128.52,eBay,cardscomicsandmore4u,Auction,43213553,https://d1w8cc2yygc27j.cloudfront.net/-1273934174364715082/1883849298701022133.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-tyranitar/auction/2680076
5/31/2019,7.0,,73.0,eBay,numismaticsgmc,Auction,43553228,https://d1w8cc2yygc27j.cloudfront.net/-3866510278417654990/-6112515332408125747.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-tyranitar/auction/2660695
5/28/2019,10.0,,429.34,eBay,hunting_neo,Buy It Now,19407476,https://d1w8cc2yygc27j.cloudfront.net/7519583138346517957/-2934318528330647215.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-tyranitar/auction/2652792
5/26/2019,7.0,,80.0,eBay,ajthrasher,Auction,41879523,https://d1w8cc2yygc27j.cloudfront.net/8441046180348203662/2405793936562126183.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-tyranitar/auction/2645901
5/21/2019,10.0,,203.31,eBay,eternal_sad,Auction,41098162,https://d1w8cc2yygc27j.cloudfront.net/5377302399585393831/5154547978643636409.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-tyranitar/auction/2629695
5/19/2019,9.0,,99.0,eBay,ajthrasher,Auction,41879520,https://d1w8cc2yygc27j.cloudfront.net/-3529551317322578250/-7102786993327706188.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-tyranitar/auction/2624192
4/18/2019,9.0,,107.0,eBay,lufcdee,Auction,42973316,https://d1w8cc2yygc27j.cloudfront.net/-4501155008112990205/4974603348369528217.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-tyranitar/auction/2532381
4/6/2019,10.0,,1.0,eBay,lambda_driver,Best Offer,41776960,https://d1w8cc2yygc27j.cloudfront.net/594430450748361415/-1850111315229431689.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-tyranitar/auction/2489731
3/27/2019,10.0,,200.0,eBay,pwcc_auctions,Auction,28899108,https://d1w8cc2yygc27j.cloudfront.net/7735497955196846054/-1405635796754518002.jpg,https://www.psacard.com/auctionprices/tcg-cards/2002-pokemon-neo-destiny/shining-tyranitar/auction/2455262
