date,grade,qualifier,prize,auction_house,seller,sale_type,psa_certification,img_url,lot_url
6/18/2020,8.0,,7000.0,eBay,nilledog,Auction,4214216,https://d1w8cc2yygc27j.cloudfront.net/-1492185646584859016/-870351206453756033.jpg,https://www.psacard.com/auctionprices/tcg-cards/1999-pokemon-game/charizard-holo/auction/3864137
6/18/2020,6.0,,4400.0,eBay,nilledog,Auction,23767028,https://d1w8cc2yygc27j.cloudfront.net/-3857197934153637296/-1577349549049165534.jpg,https://www.psacard.com/auctionprices/tcg-cards/1999-pokemon-game/charizard-holo/auction/3863514
6/15/2020,8.0,,8300.0,eBay,13june,Auction,28753829,https://d1w8cc2yygc27j.cloudfront.net/-4076817981101300616/-4961553775937979190.jpg,https://www.psacard.com/auctionprices/tcg-cards/1999-pokemon-game/charizard-holo/auction/3842722
6/14/2020,6.0,,5000.0,eBay,sashland8ppq,Best Offer,46218849,https://d1w8cc2yygc27j.cloudfront.net/-8671002602900514803/-5932112310222499964.jpg,https://www.psacard.com/auctionprices/tcg-cards/1999-pokemon-game/charizard-holo/auction/3846450
6/11/2020,7.0,,8542.8,eBay,poke_cards_holland,Best Offer,41230886,https://d1w8cc2yygc27j.cloudfront.net/2696113284215621847/-8203767988312096539.jpg,https://www.psacard.com/auctionprices/tcg-cards/1999-pokemon-game/charizard-holo/auction/3859258
6/10/2020,9.0,,15000.0,eBay,robbieauchter,Buy It Now,46738509,https://d1w8cc2yygc27j.cloudfront.net/-6976281392477064201/-5396743232657366312.jpg,https://www.psacard.com/auctionprices/tcg-cards/1999-pokemon-game/charizard-holo/auction/3867752
6/9/2020,7.0,,6499.0,eBay,richarturne-13,Best Offer,46984900,https://d1w8cc2yygc27j.cloudfront.net/-11070912232372415/-1382996147612771604.jpg,https://www.psacard.com/auctionprices/tcg-cards/1999-pokemon-game/charizard-holo/auction/3872299
6/7/2020,6.0,,5250.0,eBay,tandstradingcards,Best Offer,46493055,https://d1w8cc2yygc27j.cloudfront.net/-1367106262636801934/6442964576194113452.jpg,https://www.psacard.com/auctionprices/tcg-cards/1999-pokemon-game/charizard-holo/auction/3869517
6/4/2020,7.0,,6499.0,eBay,richarturne-13,Best Offer,46984900,https://d1w8cc2yygc27j.cloudfront.net/-4773926638025731550/-1382996147612771604.jpg,https://www.psacard.com/auctionprices/tcg-cards/1999-pokemon-game/charizard-holo/auction/3841512
6/3/2020,9.0,,11000.0,eBay,thomaboyl4,Best Offer,28549229,https://d1w8cc2yygc27j.cloudfront.net/-6564655020084620507/-6182469466339107054.jpg,https://www.psacard.com/auctionprices/tcg-cards/1999-pokemon-game/charizard-holo/auction/3855561
5/30/2020,6.0,,3950.0,eBay,13june,Buy It Now,44846787,https://d1w8cc2yygc27j.cloudfront.net/2011436511849196630/-7211372136726478719.jpg,https://www.psacard.com/auctionprices/tcg-cards/1999-pokemon-game/charizard-holo/auction/3836866
5/29/2020,9.0,,11000.0,eBay,thomaboyl4,Best Offer,28549229,https://d1w8cc2yygc27j.cloudfront.net/-1413341146370908734/-6182469466339107054.jpg,https://www.psacard.com/auctionprices/tcg-cards/1999-pokemon-game/charizard-holo/auction/3816509
5/28/2020,9.0,,11400.0,eBay,pwcc_auctions,Auction,22080251,https://d1w8cc2yygc27j.cloudfront.net/-2051823978268352620/-6776537467805974521.jpg,https://www.psacard.com/auctionprices/tcg-cards/1999-pokemon-game/charizard-holo/auction/3714968
5/26/2020,4.0,,4999.99,eBay,dh2523,Buy It Now,46541587,https://d1w8cc2yygc27j.cloudfront.net/-2272824382424339807/-8027268610990050748.jpg,https://www.psacard.com/auctionprices/tcg-cards/1999-pokemon-game/charizard-holo/auction/3790373
5/25/2020,4.0,,2774.0,eBay,tylerguitars2011,Auction,23025068,https://d1w8cc2yygc27j.cloudfront.net/3441975187927901730/-3382556743348777349.jpg,https://www.psacard.com/auctionprices/tcg-cards/1999-pokemon-game/charizard-holo/auction/3698740
5/25/2020,9.0,,12100.0,eBay,jonandek,Auction,43737071,https://d1w8cc2yygc27j.cloudfront.net/1740935765302769398/-6918502401385879944.jpg,https://www.psacard.com/auctionprices/tcg-cards/1999-pokemon-game/charizard-holo/auction/3701188
5/24/2020,8.0,,6800.0,eBay,brkl5140,Auction,25149228,https://d1w8cc2yygc27j.cloudfront.net/7866295151822655009/4009518708297816225.jpg,https://www.psacard.com/auctionprices/tcg-cards/1999-pokemon-game/charizard-holo/auction/3699048
5/21/2020,4.0,,4000.0,eBay,mtsightsphoto,Buy It Now,44955881,https://d1w8cc2yygc27j.cloudfront.net/-510012199834580139/-3395069192676776213.jpg,https://www.psacard.com/auctionprices/tcg-cards/1999-pokemon-game/charizard-holo/auction/3760713
5/20/2020,8.0,,6995.0,eBay,pokemon-of-the-coast,Buy It Now,27915269,https://d1w8cc2yygc27j.cloudfront.net/2742896813890897807/4298096394932207728.jpg,https://www.psacard.com/auctionprices/tcg-cards/1999-pokemon-game/charizard-holo/auction/3754745
5/20/2020,8.0,,8200.0,eBay,mrbrightside2313,Auction,28426936,https://d1w8cc2yygc27j.cloudfront.net/4543068319032405762/6005091181700055610.jpg,https://www.psacard.com/auctionprices/tcg-cards/1999-pokemon-game/charizard-holo/auction/3685912
5/19/2020,7.0,,5450.0,eBay,addheight,Auction,21041295,https://d1w8cc2yygc27j.cloudfront.net/-8869852470263527284/-5731296206820106787.jpg,https://www.psacard.com/auctionprices/tcg-cards/1999-pokemon-game/charizard-holo/auction/3673428
5/18/2020,8.0,,7999.99,eBay,gamerzcomplex,Buy It Now,46607061,https://d1w8cc2yygc27j.cloudfront.net/-6135749411790382110/-802018739603467826.jpg,https://www.psacard.com/auctionprices/tcg-cards/1999-pokemon-game/charizard-holo/auction/3747783
5/13/2020,8.0,,7024.47,eBay,mrshinyraichu,Best Offer,24489868,https://d1w8cc2yygc27j.cloudfront.net/-4771315359142946153/1142842731735643050.jpg,https://www.psacard.com/auctionprices/tcg-cards/1999-pokemon-game/charizard-holo/auction/3678176
5/10/2020,8.0,,6300.0,eBay,poke_card_center,Buy It Now,41715526,https://d1w8cc2yygc27j.cloudfront.net/6032833613699337827/2117998674754818045.jpg,https://www.psacard.com/auctionprices/tcg-cards/1999-pokemon-game/charizard-holo/auction/3657907
5/8/2020,8.0,,6350.0,eBay,amtsupply,Auction,42096600,https://d1w8cc2yygc27j.cloudfront.net/-7163485620853252788/6716226876327954842.jpg,https://www.psacard.com/auctionprices/tcg-cards/1999-pokemon-game/charizard-holo/auction/3627910
5/8/2020,7.0,,6500.0,eBay,goblastnoise,Buy It Now,44458574,https://d1w8cc2yygc27j.cloudfront.net/5044169792248276231/-3272590298902450811.jpg,https://www.psacard.com/auctionprices/tcg-cards/1999-pokemon-game/charizard-holo/auction/3655901
5/8/2020,7.0,,6000.0,eBay,sub_f_sone,Buy It Now,41729488,https://d1w8cc2yygc27j.cloudfront.net/2727281171831474285/-7501223243184910130.jpg,https://www.psacard.com/auctionprices/tcg-cards/1999-pokemon-game/charizard-holo/auction/3667765
4/30/2020,9.0,,9000.0,eBay,pwcc_auctions,Auction,25359893,https://d1w8cc2yygc27j.cloudfront.net/5373244935888044763/-2520676223839856403.jpg,https://www.psacard.com/auctionprices/tcg-cards/1999-pokemon-game/charizard-holo/auction/3572067
4/29/2020,8.0,,5000.0,eBay,boofman2008,Buy It Now,21711100,https://d1w8cc2yygc27j.cloudfront.net/8222969345180037796/-1826275535420186234.jpg,https://www.psacard.com/auctionprices/tcg-cards/1999-pokemon-game/charizard-holo/auction/3641583
4/27/2020,8.0,,3899.0,eBay,gilchdavi,Auction,45007278,https://d1w8cc2yygc27j.cloudfront.net/2170877698044719668/-2315723445997507923.jpg,https://www.psacard.com/auctionprices/tcg-cards/1999-pokemon-game/charizard-holo/auction/3593657
4/26/2020,5.0,,2099.99,eBay,schwifty87,Best Offer,44541918,https://d1w8cc2yygc27j.cloudfront.net/5414878518249995470/5624190795154530147.jpg,https://www.psacard.com/auctionprices/tcg-cards/1999-pokemon-game/charizard-holo/auction/3615493
